P,q,error
1.0,4.43662e-05,2.73551e-05
2.0,6.8566e-05,4.11317e-05
3.0,9.27658e-05,4.49129e-05
4.0,0.000137132,5.03758e-05
5.0,0.0001734316,4.83995e-05
6.0,0.0002198145,9.40718e-05
7.0,0.0002964471,9.92879e-05
8.0,0.0003287134,8.32462e-05
9.0,0.0003690464,9.51037e-05
10.0,0.0003992961,8.79961e-05
20.0,0.0007401094,0.0001457577
30.0,0.0010930226,0.0002533602
40.0,0.0017322996,0.0002297208
50.0,0.0019258977,0.0002138026
60.0,0.0023473769,0.0005031766
70.0,0.002746673,0.0003905428
80.0,0.0030390868,0.0001631366
90.0,0.0033839334,0.000378915
100.0,0.0038901118,0.0004994449
200.0,0.0076572081,0.0006487964
300.0,0.0117187349,0.0005059172
400.0,0.0152720666,0.0016016595
500.0,0.0197933889,0.0033246673
600.0,0.0232297551,0.003400246
700.0,0.0263797575,0.003127569
800.0,0.0304977504,0.0030288827
900.0,0.0345895269,0.0042026572
1000.0,0.0374329989,0.0043303302
1500.0,0.0569460739,0.0029964577
2000.0,0.0755536744,0.0052888001
2500.0,0.0903598956,0.00805201
3000.0,0.1128213083,0.0109732647
3500.0,0.1251551205,0.0184629208
4000.0,0.1407397674,0.0095424558
4500.0,0.1654719244,0.0236706843
5000.0,0.176033104,0.0087303062
5500.0,0.1963709875,0.0325235937
6000.0,0.2109573942,0.0038134062
6500.0,0.2199334894,0.0357475497
7000.0,0.2385027736,0.0135177847
7500.0,0.2555656227,0.0176638953
8000.0,0.2678833016,0.0220970002
8500.0,0.2887051804,0.0243781341
9000.0,0.2895481388,0.0198149912
9500.0,0.3038360818,0.0305144443
10000.0,0.3261442293,0.0205207603
15000.0,0.4242964484,0.0177275514
20000.0,0.5148075925,0.0500138006
25000.0,0.6306619377,0.0268854912
30000.0,0.6847100901,0.0263574229
35000.0,0.7504608441,0.0383635305
40000.0,0.8094215482,0.0370646569
45000.0,0.8446180858,0.0387789531
50000.0,0.884602143,0.0421868641
55000.0,0.9145069992,0.0452035113
60000.0,0.9503186141,0.031130584
65000.0,0.977472764,0.0308413884
70000.0,1.0004383384,0.0181947195
75000.0,1.0159584526,0.0295857652
80000.0,1.0350439984,0.0355640164
85000.0,1.068772417,0.0410570698
90000.0,1.0792166311,0.0442530266
95000.0,1.0872993517,0.0338127146
100000.0,1.1118621104,0.0469664551
150000.0,1.2077153521,0.010239099
200000.0,1.2456101631,0.0270186953
250000.0,1.2969358422,0.0269390115
300000.0,1.3229344535,0.0172220206
350000.0,1.3391583774,0.0200047286
400000.0,1.3547006748,0.0169378524
450000.0,1.3620856355,0.013721858
500000.0,1.3695593288,0.0178152122
550000.0,1.3834701588,0.014616258
600000.0,1.3867169602,0.0095646735
650000.0,1.3960802516,0.0215099021
700000.0,1.394444751,0.0136527713
750000.0,1.3954490411,0.0176860044
800000.0,1.4095736357,0.0139879976
850000.0,1.411336185,0.0083409119
900000.0,1.4151557142,0.0112593394
950000.0,1.4163576357,0.0143838846
1000000.0,1.4237002469,0.0147304114
