P,q,error
1.0,0.0012543543,0.0001723496
2.0,0.0021537788,0.0001732909
3.0,0.0032105018,0.000606015
4.0,0.0041986588,0.0005324253
5.0,0.0051847991,0.0014139211
6.0,0.0067658502,0.001381955
7.0,0.0077056076,0.0009778055
8.0,0.0082420357,0.0017129679
9.0,0.0092301927,0.0012897462
10.0,0.0110229917,0.0019110919
20.0,0.0221609323,0.0031663128
30.0,0.0308204139,0.0060803906
40.0,0.0412888277,0.0058482119
50.0,0.0508900834,0.0085982879
60.0,0.063484043,0.0082892968
70.0,0.0721919241,0.015440287
80.0,0.0804117767,0.0056017121
90.0,0.0964985687,0.0142683966
100.0,0.1069770657,0.0145466182
200.0,0.211792286,0.0285364312
300.0,0.2906693945,0.0369229679
400.0,0.360072296,0.0512034238
500.0,0.4504402582,0.0551550598
600.0,0.5027460277,0.0277004562
700.0,0.5552171622,0.0263918185
800.0,0.6285101755,0.0604262801
900.0,0.6694400401,0.0562699803
1000.0,0.7412528346,0.0518500035
1500.0,0.8815005401,0.0281382313
2000.0,0.9810402123,0.0567273769
2500.0,1.0545046405,0.057587682
3000.0,1.1130136158,0.05333153
3500.0,1.1355597276,0.0364360945
4000.0,1.1857137349,0.0111780216
4500.0,1.2268795471,0.0255403859
5000.0,1.2387051643,0.0303068061
5500.0,1.2609044129,0.012496792
6000.0,1.2685737209,0.0197856568
6500.0,1.2790925509,0.0311237377
7000.0,1.2898916948,0.0261300836
7500.0,1.3087493595,0.0219484069
8000.0,1.3168240135,0.0337130391
8500.0,1.3290771598,0.0157167297
9000.0,1.3354961468,0.0319628676
9500.0,1.3352460825,0.0502682691
10000.0,1.3439983299,0.0195273805
15000.0,1.3781905773,0.0363696848
20000.0,1.3967013788,0.0066198429
25000.0,1.4154662778,0.0213002186
30000.0,1.4164483848,0.012721603
35000.0,1.4164887177,0.0148776861
40000.0,1.4267292505,0.0097513865
45000.0,1.4271063634,0.0118128046
50000.0,1.4310589913,0.0074036223
55000.0,1.4341545442,0.0089844784
60000.0,1.4334406512,0.0051603057
65000.0,1.4337149152,0.0051239183
70000.0,1.4321096643,0.0089987691
75000.0,1.4380950722,0.004339168
80000.0,1.4381454883,0.003463484
85000.0,1.4400875192,0.0079842103
90000.0,1.4405049651,0.0071135296
95000.0,1.4436529509,0.0067520107
100000.0,1.4400250032,0.0072006369
150000.0,1.4419569509,0.0064088085
200000.0,1.4453066013,0.002856432
250000.0,1.4469683183,0.0040851034
300000.0,1.4477265775,0.00414362
350000.0,1.4491644467,0.0029024698
400000.0,1.4498178403,0.0031091437
450000.0,1.4507616311,0.0021426851
500000.0,1.4491704967,0.0032381697
550000.0,1.4508059973,0.0016336084
600000.0,1.4511205942,0.000977223
650000.0,1.4513041091,0.0016278026
700000.0,1.4507555811,0.0014910646
750000.0,1.4519333029,0.0031187403
800000.0,1.451104461,0.0026308269
850000.0,1.4497149913,0.0036529129
900000.0,1.4511407607,0.0019090905
950000.0,1.4511770603,0.001350485
1000000.0,1.4510500116,0.001432268
