P,q,error
1.0,0.0017917972,0.0003464815
2.0,0.0035043503,0.0005562788
3.0,0.005368788,0.0006765178
4.0,0.0074401408,0.0008085421
5.0,0.008703644,0.0009679786
6.0,0.0103347517,0.0014760359
7.0,0.0131413137,0.0018440434
8.0,0.0142837495,0.0013146604
9.0,0.0157673752,0.0003783547
10.0,0.017955393,0.0013392135
20.0,0.0344513737,0.0030327546
30.0,0.0536592637,0.0024395533
40.0,0.0679408121,0.0096880215
50.0,0.0891760304,0.0087022487
60.0,0.1041905866,0.0126161855
70.0,0.1219060461,0.0123279484
80.0,0.1346753528,0.0131096997
90.0,0.157288538,0.0172508873
100.0,0.1702361439,0.0183315751
200.0,0.3353478358,0.0244078539
300.0,0.4732611907,0.0363419591
400.0,0.5983634156,0.0238364264
500.0,0.7043744154,0.0437739155
600.0,0.8433399558,0.0555529843
700.0,0.9308540612,0.0317360995
800.0,1.0494560685,0.0135758672
900.0,1.1000578306,0.025628865
1000.0,1.1975104673,0.0369488806
1500.0,1.5506045797,0.0565658991
2000.0,1.7640023449,0.0332915033
2500.0,1.9363098416,0.0437237409
3000.0,2.0481606915,0.0484496478
3500.0,2.1493444047,0.0449190285
4000.0,2.2445297796,0.04130909
4500.0,2.3042952417,0.0631229767
5000.0,2.3470804535,0.0366642128
5500.0,2.3936165529,0.0194430292
6000.0,2.4174029911,0.0281607727
6500.0,2.4621957203,0.0325707699
7000.0,2.5199008357,0.0700238679
7500.0,2.5330685641,0.0260999116
8000.0,2.5773902311,0.0564567613
8500.0,2.5662080077,0.0254653883
9000.0,2.5910818511,0.0214427543
9500.0,2.6227244616,0.0435957579
10000.0,2.6218087519,0.0270957006
15000.0,2.7785491849,0.0543351397
20000.0,2.8568005352,0.0415832977
25000.0,2.9526088567,0.1327996974
30000.0,3.0114894264,0.1096074857
35000.0,3.0900599543,0.1049508545
40000.0,3.1266839372,0.178113811
45000.0,3.1591696169,0.1074352983
50000.0,3.222514271,0.0337719823
55000.0,3.2730191792,0.1326628202
60000.0,3.3239885459,0.1146866088
65000.0,3.4182009792,0.0969695494
70000.0,3.3707161519,0.1713471734
75000.0,3.4870663058,0.180651005
80000.0,3.5467283104,0.0571098259
85000.0,3.5214318318,0.1501656627
90000.0,3.6664023142,0.1037524667
95000.0,3.623359559,0.111985554
100000.0,3.7342022479,0.2033069801
150000.0,4.0202360382,0.1991458874
200000.0,4.2255729173,0.1058239458
250000.0,4.3824982531,0.1779522679
300000.0,4.6687191476,0.1829393449
350000.0,4.8044951129,0.1908345129
400000.0,4.9912096278,0.0965093395
450000.0,4.9569189435,0.1399407714
500000.0,5.101948859,0.1008210248
550000.0,5.0612592134,0.0914111743
600000.0,5.1787848216,0.1074069687
650000.0,5.1418482648,0.1119310806
700000.0,5.1988489882,0.0855873808
750000.0,5.2393955542,0.1412897861
800000.0,5.2206345128,0.1413511661
850000.0,5.2581191747,0.1254400108
900000.0,5.2458693571,0.0901561529
950000.0,5.2112903124,0.1138852072
1000000.0,5.2949698837,0.0743954485
