P,q,error
1.0,5.28294e-05,5.80723e-05
2.0,0.0001166649,4.08266e-05
3.0,0.0001738968,6.44023e-05
4.0,0.000224525,8.87069e-05
5.0,0.0002289274,8.95766e-05
6.0,0.0003015678,7.94883e-05
7.0,0.0003786107,0.0001870912
8.0,0.0003896168,0.0001265274
9.0,0.0004424462,0.0001054752
10.0,0.0004732634,6.67665e-05
20.0,0.0010323746,0.000287477
30.0,0.0015958882,0.000300852
40.0,0.0020493405,0.0003851578
50.0,0.0026282627,0.0004300903
60.0,0.0031631604,0.0003757846
70.0,0.0036144116,0.0007794451
80.0,0.0040282419,0.0005214627
90.0,0.0046005604,0.0006452256
100.0,0.0052477206,0.0006653965
200.0,0.0101894709,0.0012234852
300.0,0.015276502,0.0012473005
400.0,0.0199783188,0.0022430214
500.0,0.024244293,0.0023426413
600.0,0.0312617986,0.0018354891
700.0,0.0370906426,0.0022341296
800.0,0.0413081898,0.0046384654
900.0,0.0440443126,0.0043204032
1000.0,0.0487923551,0.0048047938
1500.0,0.0769394202,0.0035918868
2000.0,0.1045185692,0.0118851201
2500.0,0.1309750934,0.0093502735
3000.0,0.1459302166,0.0092683653
3500.0,0.1715436716,0.0073538763
4000.0,0.1938266731,0.0090302763
4500.0,0.2132370758,0.0307704359
5000.0,0.2431539259,0.0209595774
5500.0,0.2667356501,0.0423617732
6000.0,0.2932317964,0.0251865193
6500.0,0.3095318681,0.0462562122
7000.0,0.3400452501,0.0165672453
7500.0,0.3575075687,0.0333113148
8000.0,0.3738318539,0.0271973216
8500.0,0.3891039535,0.0322871673
9000.0,0.4077945556,0.0361615836
9500.0,0.4349224535,0.0385795692
10000.0,0.460003212,0.0348404448
15000.0,0.631579902,0.0582387061
20000.0,0.797895664,0.0490065332
25000.0,0.9332115733,0.0731560554
30000.0,1.0944226944,0.1058340215
35000.0,1.1940281292,0.0534298328
40000.0,1.2745445401,0.0504007857
45000.0,1.3977933335,0.072322547
50000.0,1.4829829453,0.0157994951
55000.0,1.5390415443,0.0661701073
60000.0,1.6262210636,0.0634728341
65000.0,1.6681081756,0.0270822668
70000.0,1.7225048497,0.0343253152
75000.0,1.8021143559,0.0531077338
80000.0,1.8528129719,0.0634926811
85000.0,1.8714023177,0.0400343974
90000.0,1.9161003942,0.0335730774
95000.0,1.9487863854,0.0278451315
100000.0,1.9797510186,0.0590459192
150000.0,2.2286171235,0.0395060934
200000.0,2.3247798423,0.0288509559
250000.0,2.4435007157,0.0403158142
300000.0,2.4988064958,0.019106306
350000.0,2.5240391388,0.010300262
400000.0,2.5579269989,0.030627212
450000.0,2.5825256892,0.0178013855
500000.0,2.6035782058,0.0315082635
550000.0,2.6406820558,0.028403067
600000.0,2.6432222695,0.016155405
650000.0,2.651256741,0.0251954742
700000.0,2.664556543,0.0169171135
750000.0,2.6734406874,0.0276236098
800000.0,2.6923580157,0.0156651995
850000.0,2.6904165352,0.0136683593
900000.0,2.7065669236,0.0068903422
950000.0,2.7100074384,0.0087572513
1000000.0,2.7187925277,0.0100999019
