Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.9,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
1,0.9,0.951994763813383,0.982509573032405,0.996359232691826,0.999235311613395,0.999726065427928,0.999794184483955,0.999800334454078,0.999799872250903,0.999799464862927,0.999799336681167,0.999799306308652,0.999799300208033,0.999799299105469,0.999799298943334,0.999799298917282,0.999799298910881,0.999799298910514,0.999799298910262,0.999799298909691,0.999799298909261,0.999799094860844
2,0.9,0.950272727163861,0.979692475917321,0.995405201395217,0.999039584562555,0.999799547497705,0.999941653703328,0.999944797663873,0.999903244341287,0.999848596429248,0.999819570188916,0.999806859656621,0.999801878130401,0.999800113040191,0.999799541161522,0.999799370231974,0.999799322761831,0.99979931042937,0.999799307416246,0.999799306720357,0.999799306553795,0.999799102505528
3,0.9,0.948512747052196,0.977102165671862,0.994491781490745,0.998800078498717,0.999747649266392,0.999946832925038,0.999986859780532,0.999992005716367,0.999985478398368,0.999970111385644,0.99994057656507,0.999889959873088,0.999845440923646,0.999820597771959,0.999808435668092,0.99980296627993,0.999800687002178,0.999799797913552,0.999799476106401,0.999799351532494,0.999799147484229
4,0.9,0.946664032714297,0.974558763867246,0.993431451908318,0.998515929224326,0.999678692032408,0.999931183172132,0.999984958732552,0.999996204643042,0.999998214534463,0.99999772418736,0.99999538474655,0.999989352070026,0.99997892959728,0.999961381026884,0.999928827550993,0.999879067397847,0.999841981761277,0.999820237437157,0.99980952776077,0.999802873331186,0.999802669282921
5,0.9,0.944705468063932,0.972179529695382,0.992193865288153,0.998178344852669,0.999595722671324,0.999911589482855,0.999980471988139,0.999995320733945,0.999998486184421,0.999999122033473,0.999999154608661,0.999998823468057,0.999998084378856,0.999996629067543,0.999992615801821,0.999984301684845,0.999972889799179,0.999953147609555,0.999917358387908,0.999860533859494,0.99986032981123
6,0.9,0.942615755583967,0.969996822621613,0.9907842472009,0.99778397100792,0.999497268423003,0.999888040315486,0.999974961571995,0.999994051771396,0.999998204185744,0.999999099521525,0.999999290604371,0.999999314802155,0.999999309639743,0.999999253012154,0.999998917803354,0.999998253548356,0.999997334002222,0.999994766504191,0.999988339592545,0.999972334294374,0.999972130246113
7,0.9,0.940377020581097,0.967979751926115,0.989220912957121,0.997332868736138,0.999382469545028,0.999860188828428,0.999968355992127,0.99999250937105,0.999997850171685,0.999999021360527,0.999999275235962,0.999999329908336,0.999999340143907,0.999999328994622,0.999999327268545,0.999999331443544,0.999999269147623,0.999999033421125,0.999998629355745,0.999996929508669,0.999996725460409
8,0.9,0.937977301981484,0.966090723324843,0.987517575968467,0.996824490221266,0.999250352978691,0.999827661497354,0.999960539482489,0.999990660777872,0.999997418598736,0.999998920666979,0.999999253506757,0.9999993257821,0.999999329898689,0.999999345472861,0.999999346211557,0.999999251308504,0.999999208063142,0.999999346413363,0.999998673948684,0.999998412922897,0.999998208874637
9,0.9,0.935410785050004,0.964302188197901,0.985682634785329,0.996256687985144,0.999099546139098,0.999789989829521,0.999951371552438,0.999988466182829,0.999996900125014,0.999998800211129,0.999999225510462,0.999999319804785,0.999999340591486,0.999999345145097,0.999999346136007,0.999999346349637,0.99999927535019,0.999999346408927,0.999999346410121,0.999999129575969,0.999998925527707
