Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.043716439123411,0.0174137741293394,0.00360766086604133,0.000684523325892337,0.000124087048250767,2.20372348943647e-05,4.1999083755802e-06,1.20882282661436e-06,7.28899901159337e-07,6.5518471851237e-07,6.44363432646049e-07,6.42846161600511e-07,6.42655698515278e-07,6.42614695470508e-07,6.42610202283325e-07,6.42613714019763e-07,6.42614576949704e-07,6.42614617654149e-07,6.42614109934518e-07,6.42619460241527e-07,6.42619460241506e-07
2,0.05,0.0447267611129795,0.0202222485801216,0.00458721626979159,0.000957337669372291,0.000193974687375603,3.9180651956464e-05,8.24361226275362e-06,2.12204150057632e-06,9.22300850993904e-07,6.89410953070725e-07,6.44677687650812e-07,6.36188741411008e-07,6.34598727561153e-07,6.34305913029541e-07,6.34256256034189e-07,6.3424004669426e-07,6.34238935168383e-07,6.3423965313484e-07,6.34239303835135e-07,6.342446495159e-07,6.3424464951588e-07
3,0.05,0.0456527784304505,0.0227955302805574,0.00549946181879987,0.00119803580706113,0.000251834144249689,5.25617723540849e-05,1.12670856467517e-05,2.79402171863779e-06,1.06965998114426e-06,7.21395900258533e-07,6.51566286889241e-07,6.3766203165347e-07,6.34912448554179e-07,6.34369970888353e-07,6.34277451542712e-07,6.34241482613572e-07,6.34236804054865e-07,6.34238987037451e-07,6.34239282743615e-07,6.34244708543401e-07,6.34244708543381e-07
4,0.05,0.046520401505287,0.0253192871259791,0.006557841545567,0.00148172032283657,0.000320776227899514,6.86804251372563e-05,1.49513506236102e-05,3.62202051895612e-06,1.25310686680712e-06,7.61536639616904e-07,6.60252710407751e-07,6.39523142674564e-07,6.353078748907e-07,6.3445295718239e-07,6.34293137345175e-07,6.3424882126285e-07,6.34237242692802e-07,6.34238324760592e-07,6.34239056918958e-07,6.34244693164026e-07,6.34244693164005e-07
5,0.05,0.0473252415429777,0.027675113514281,0.00779334464028135,0.00181875861260323,0.000403608125232415,8.82481092568057e-05,1.94760746569022e-05,4.65173339696762e-06,1.48437341261072e-06,8.12878133952591e-07,6.71532491685341e-07,6.4197806308963e-07,6.3583712575268e-07,6.34568216212177e-07,6.34308403312575e-07,6.34258778957393e-07,6.34240596398859e-07,6.34238792775309e-07,6.34239006103174e-07,6.3424456375679e-07,6.3424456375677e-07
6,0.05,0.0480625089710103,0.0298288013964809,0.00920101082045055,0.0022125865633453,0.0005019160043829,0.00011176098184871,2.497977587538e-05,5.92004553737888e-06,1.77297664084115e-06,8.77816005579851e-07,6.85997189025706e-07,6.45170557100718e-07,6.36535767382465e-07,6.34720160339639e-07,6.34340071022428e-07,6.34269382215093e-07,6.34241258188798e-07,6.34237800533934e-07,6.34238594903791e-07,6.34244439157612e-07,6.34244439157591e-07
7,0.05,0.0487263354866063,0.0318098294593755,0.0107624732116202,0.00266313460500715,0.000616554309493463,0.000139570263573869,3.15749609540162e-05,7.45980205112309e-06,2.1279400163996e-06,9.58737670749565e-07,7.04260403245356e-07,6.49254813406345e-07,6.37441466221297e-07,6.34919635197589e-07,6.34382718998923e-07,6.34283091629044e-07,6.34242650967123e-07,6.34236339289677e-07,6.34237920914674e-07,6.34244269323549e-07,6.34244269323529e-07
8,0.05,0.049310763153198,0.0336546017590733,0.0124640030183769,0.00317096895634005,0.000748507038435387,0.000172054559318438,3.9371371725718e-05,9.30472363465181e-06,2.55880637715701e-06,1.0582137857242e-06,7.26992572410827e-07,6.54401614755416e-07,6.38596903543143e-07,6.35177162227169e-07,6.34439178599306e-07,6.34295855157422e-07,6.34247416672164e-07,6.34236107920474e-07,6.34237251915995e-07,6.34244020530943e-07,6.34244020530923e-07
9,0.05,0.0498124503025301,0.0353893416768549,0.0142968881267756,0.00373819210828534,0.000899141419795426,0.000209672907413819,4.85792932010958e-05,1.15035565831446e-05,3.07751392757499e-06,1.17926076466587e-06,7.54964062228138e-07,6.608069590963e-07,6.40051500454767e-07,6.35504507303256e-07,6.34514781909559e-07,6.34299712673559e-07,6.34256971945227e-07,6.34240901632398e-07,6.34238174793654e-07,6.34243843210363e-07,6.34243843210343e-07
