Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.00427041281963943,4.47797425320848e-05,3.44201337479573e-07,2.18700376263881e-08,1.94305696859605e-08,1.93578784997234e-08,1.934693692715e-08,1.93458448390823e-08,1.93459640294588e-08,1.93463367051474e-08,1.93467789201337e-08,1.93472571037247e-08,1.93477635597151e-08,1.93482945208563e-08,1.93488469302157e-08,1.93494178768894e-08,1.93500046073301e-08,1.93506046144929e-08,1.93512155799159e-08,1.93518391059906e-08,2.23400256772319e-07
2,0.05,0.00498281784833436,5.81388605631844e-05,4.70399991789488e-07,2.29949540763862e-08,1.9478416173815e-08,1.93681751629911e-08,1.93491315800008e-08,1.93463687405413e-08,1.93460888949449e-08,1.93463694157737e-08,1.9346791011283e-08,1.93472639822043e-08,1.93477683984571e-08,1.93482979764201e-08,1.93488491210256e-08,1.93494188183835e-08,1.93500043111861e-08,1.93506030832914e-08,1.93512128131366e-08,1.93518353153911e-08,2.23400102726486e-07
3,0.05,0.00581678764553957,7.44765375232499e-05,6.30121938258907e-07,2.43842058320812e-08,1.95214194495997e-08,1.93761141463738e-08,1.93508668044275e-08,1.9346736015489e-08,1.93461716964154e-08,1.93463870009705e-08,1.93467942870655e-08,1.93472641837212e-08,1.93477679551174e-08,1.93482974064684e-08,1.93488485447725e-08,1.9349418250723e-08,1.93500037630359e-08,1.93506025593959e-08,1.93512123129293e-08,1.93518350613977e-08,2.23400099729282e-07
4,0.05,0.00679783886190507,9.47401741952393e-05,8.37821346813019e-07,2.62052336994973e-08,1.95740392704958e-08,1.93852047652677e-08,1.93534577342053e-08,1.93471963974503e-08,1.93462737012989e-08,1.93464093068275e-08,1.93467986847276e-08,1.93472646922919e-08,1.93477676315791e-08,1.93482969148775e-08,1.93488480234069e-08,1.93494177358903e-08,1.93500032568294e-08,1.9350602065435e-08,1.93512118316134e-08,1.93518348153273e-08,2.23400099428213e-07
5,0.05,0.00795151825838584,0.000119640303690286,1.10718058263573e-06,2.85934910656814e-08,1.96389283116044e-08,1.9396634618907e-08,1.93562699274061e-08,1.93477545226947e-08,1.93464029836734e-08,1.93464381986282e-08,1.93468047130416e-08,1.9347265669163e-08,1.93477674987965e-08,1.9348296535041e-08,1.93488475790254e-08,1.93494172836129e-08,1.93500027987529e-08,1.93506016058392e-08,1.9351211372959e-08,1.93518345734759e-08,2.23400098773837e-07
6,0.05,0.00930397032300394,0.000150085482035278,1.4554327215162e-06,3.17192557247961e-08,1.97183544996452e-08,1.94105129587527e-08,1.93595728859432e-08,1.93484314959391e-08,1.93465640814032e-08,1.93464748594944e-08,1.93468125539248e-08,1.93472670605286e-08,1.93477674570563e-08,1.9348296171093e-08,1.93488471412651e-08,1.93494168286685e-08,1.93500023357671e-08,1.93506011409775e-08,1.93512109073555e-08,1.9351834334402e-08,2.23400096216197e-07
7,0.05,0.0108789912883503,0.000187229243758255,1.90440996109325e-06,3.58019971895069e-08,1.98145999853667e-08,1.94269689770448e-08,1.93635190177914e-08,1.93492507690774e-08,1.93467614523408e-08,1.93465205551617e-08,1.93468224886802e-08,1.93472688889719e-08,1.93477674691558e-08,1.9348295780775e-08,1.93488466634719e-08,1.93494163387961e-08,1.93500018449221e-08,1.93506006572835e-08,1.93512104311662e-08,1.93518340908471e-08,2.23400094068615e-07
8,0.05,0.0126946495720779,0.000232381839225056,2.48095802229743e-06,4.11223315300968e-08,1.99305318150834e-08,1.94462262423481e-08,1.93681795962016e-08,1.93502421904874e-08,1.93470000025674e-08,1.93465766996858e-08,1.9346834905466e-08,1.9347271260207e-08,1.93477675675954e-08,1.93482953742945e-08,1.93488461524602e-08,1.93494158151128e-08,1.93500013313444e-08,1.93506001560144e-08,1.93512099443046e-08,1.93518338419446e-08,2.23400094535425e-07
9,0.05,0.0147600835234567,0.000286917132520617,3.21712620078276e-06,4.80351822234466e-08,2.00699126931616e-08,1.94685795145707e-08,1.93736328341893e-08,1.93514356176383e-08,1.93472852791303e-08,1.93466449585071e-08,1.9346850284227e-08,1.93472743243315e-08,1.9347767813858e-08,1.93482949885069e-08,1.93488456355107e-08,1.93494152728844e-08,1.93500008071205e-08,1.93505996485877e-08,1.93512094540065e-08,1.93518335923271e-08,2.23400095486694e-07
10,0.05,0.0170746327935488,0.000352177595166818,4.14984585878111e-06,5.69807270565332e-08,2.02376045272864e-08,1.94944028687995e-08,1.93799839471415e-08,1.9352854339366e-08,1.934762329802e-08,1.93467272465554e-08,1.93468691568413e-08,1.93472782336768e-08,1.93477682605805e-08,1.93482946482154e-08,1.93488451262688e-08,1.93494147385218e-08,1.93500002797556e-08,1.93505991425891e-08,1.93512089611654e-08,1.93518333427215e-08,2.23400094798535e-07
11,0.05,0.0196315531857979,0.000429384497583742,5.31975153132001e-06,6.84922206650398e-08,2.043987952728e-08,1.95241878917279e-08,1.93872704776453e-08,1.93546161898417e-08,1.93480233415837e-08,1.93468255572982e-08,1.9346892126287e-08,1.9347283161338e-08,1.93477689658639e-08,1.93482943801105e-08,1.93488446432272e-08,1.93494142163881e-08,1.93499997652995e-08,1.9350598632367e-08,1.93512084725736e-08,1.93518330923774e-08,2.2340009354176e-07
12,0.05,0.02242374489216,0.00051950061357846,6.76796821796914e-06,8.31984864050091e-08,2.06849339931946e-08,1.95586313451317e-08,1.93954202944169e-08,1.93569943393002e-08,1.93485014350734e-08,1.93469418945438e-08,1.93469198808932e-08,1.93472893017201e-08,1.93477699890021e-08,1.93482942080074e-08,1.93488442001362e-08,1.9349413715941e-08,1.93499992660742e-08,1.93505981410256e-08,1.9351207991287e-08,1.93518328439027e-08,2.23400093395532e-07
13,0.05,0.0254545619626885,0.000623461863170378,8.53447730247294e-06,1.01848662321052e-07,2.09834597870499e-08,1.95987043560959e-08,1.9405061230978e-08,1.93596571047466e-08,1.93490598659579e-08,1.93470803146115e-08,1.93469533157831e-08,1.9347296876396e-08,1.93477713890654e-08,1.93482941506133e-08,1.93488438030538e-08,1.93494132441064e-08,1.93499987812385e-08,1.93505976577938e-08,1.93512075158328e-08,1.93518325979401e-08,2.23400093897461e-07
14,0.05,0.0286967591712259,0.000744631472965636,1.06863434915159e-05,1.25533559907158e-07,2.13494284732513e-08,1.96455333989059e-08,1.94165220940127e-08,1.93626131934008e-08,1.93497111857589e-08,1.93472451130566e-08,1.93469937156175e-08,1.93473063741748e-08,1.93477734359392e-08,1.93482944020014e-08,1.93488436078515e-08,1.9349412923528e-08,1.9349998407439e-08,1.93505972571531e-08,1.93512070809945e-08,1.93518323874281e-08,2.23400094860005e-07
15,0.05,0.0317518634089131,0.000896673668328011,1.34272069070522e-05,1.56655863679747e-07,2.18068187421185e-08,1.97003445596435e-08,1.94299582796037e-08,1.9366055167243e-08,1.935047942468e-08,1.93474418123022e-08,1.93470436909114e-08,1.93473194303223e-08,1.93477773921292e-08,1.93482960118128e-08,1.93488444923964e-08,1.93494134712102e-08,1.93499987074708e-08,1.93505973459491e-08,1.93512069543712e-08,1.93518322418216e-08,2.23400091906459e-07
16,0.05,0.0338878571448607,0.00108612241984477,1.69100104774838e-05,1.97633979743105e-07,2.23813679377581e-08,1.97643660385728e-08,1.94456467521806e-08,1.93700766478964e-08,1.9351389251247e-08,1.93476742727861e-08,1.93471038187135e-08,1.93473357663077e-08,1.93477828071699e-08,1.93482985395008e-08,1.93488460716138e-08,1.93494145683783e-08,1.93499994335128e-08,1.93505977319248e-08,1.93512070022048e-08,1.93518321686737e-08,2.23400089412716e-07
17,0.05,0.0352966798994416,0.00130248416078511,2.09999910143345e-05,2.48046239487987e-07,2.30660095034927e-08,1.98362345981277e-08,1.94635104460334e-08,1.93747025572127e-08,1.93524557190982e-08,1.93479402942656e-08,1.93471690377687e-08,1.93473498788923e-08,1.93477845504631e-08,1.93482974659054e-08,1.93488445017134e-08,1.93494130630253e-08,1.93499981278733e-08,1.93505966614426e-08,1.93512061703299e-08,1.93518318036171e-08,2.23400089128082e-07
18,0.05,0.0363822671636324,0.00156305083219881,2.61552352558215e-05,3.13078950140909e-07,2.3897114468578e-08,1.99135856277806e-08,1.94828876801383e-08,1.93798104397633e-08,1.93536675939414e-08,1.9348246334999e-08,1.9347247541467e-08,1.93473691591938e-08,1.93477890586635e-08,1.93482983316691e-08,1.93488444601106e-08,1.93494127815592e-08,1.934999776871e-08,1.93505962672032e-08,1.93512057457927e-08,1.93518315743178e-08,2.23400088898285e-07
19,0.05,0.0372213344248279,0.00184045844057278,3.21721558919444e-05,3.96628821219679e-07,2.49974851873113e-08,2.00131765779496e-08,1.95069970581994e-08,1.938600155347e-08,1.93551268293721e-08,1.93486118463418e-08,1.93473470555776e-08,1.93473988251663e-08,1.93478006844472e-08,1.93483048778586e-08,1.93488491108007e-08,1.9349416315155e-08,1.93500003745644e-08,1.93505979945911e-08,1.93512066006918e-08,1.93518317741999e-08,2.2340008909981e-07
20,0.05,0.0379375003229759,0.00214221516859384,3.8944239299379e-05,4.96862088107294e-07,2.63123164687966e-08,2.012558811531e-08,1.95346062652381e-08,1.93930417784514e-08,1.93569841963254e-08,1.93490376498924e-08,1.93474571776034e-08,1.93474271081911e-08,1.93478082523084e-08,1.93483072082041e-08,1.93488500247555e-08,1.93494167494368e-08,1.9350000558471e-08,1.93505979822584e-08,1.93512064103737e-08,1.93518316239408e-08,2.23400088948755e-07
21,0.05,0.0385795708324367,0.00248153940963297,4.68243509267188e-05,6.19890538050633e-07,2.79174559896353e-08,2.0252802411132e-08,1.95658702091307e-08,1.9400839671305e-08,1.93593423986316e-08,1.9349532377714e-08,1.93475829738886e-08,1.93474588278532e-08,1.93478159435133e-08,1.93483089076446e-08,1.93488502230084e-08,1.93494165537377e-08,1.93500002422924e-08,1.93505976076254e-08,1.93512060022948e-08,1.93518314010652e-08,2.23400088715124e-07
22,0.05,0.0391684516074074,0.00286541195550831,5.60240062827293e-05,7.70881256425834e-07,2.9894197276474e-08,2.03986597413831e-08,1.96016217633584e-08,1.94099687027417e-08,1.93618995707812e-08,1.93500982862146e-08,1.93477290743928e-08,1.93474956220253e-08,1.93478247045209e-08,1.93483106824913e-08,1.93488502756666e-08,1.93494161885445e-08,1.93499997817521e-08,1.93505971299898e-08,1.93512055293656e-08,1.93518311555677e-08,2.23400088462956e-07
