Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.9,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
1,0.9,0.972317004891512,0.995793090716301,0.999356680767022,0.999829669453327,0.999835723586251,0.999813500486752,0.999803682353237,0.999800560765273,0.999799736039298,0.999799546345529,0.999799507458905,0.999799500239699,0.999799499022965,0.999799498826372,0.999799498794936,0.999799498792682,0.999799498793728,0.999799498793776,0.999799498793957,0.999799498788727,0.999799295276438
2,0.9,0.96991054596034,0.995180194137979,0.999257477123499,0.999886119006316,0.999976431484954,0.999977175972316,0.999951576465109,0.999902098715841,0.999847738201824,0.999819322620225,0.999806889742335,0.999802017752114,0.999800289982004,0.999799729465232,0.999799561620155,0.999799514870789,0.999799502682638,0.999799499692274,0.999799498998183,0.999799498826802,0.999799295313553
3,0.9,0.967461053154929,0.994518683142394,0.999120031455554,0.999862154075936,0.99997820531999,0.99999577265948,0.999997252580614,0.999994160267947,0.999985899687463,0.999968866988024,0.999939190443696,0.999888852775519,0.999844778941938,0.999820313966191,0.999808371328226,0.999803027230924,0.99980081580847,0.999799961553085,0.99979965572704,0.999799539818049,0.999799336304765
4,0.9,0.965068967712507,0.993758307550394,0.998961994941971,0.999832454149631,0.999973004499464,0.999995356013698,0.999998849794314,0.999999282198635,0.99999899338508,0.999997959111808,0.999995498558468,0.999989772882396,0.999978868535517,0.999961266214289,0.999926004925746,0.999878142881163,0.999841433176379,0.999820021287195,0.999809448961291,0.999802953564842,0.999802750051557
5,0.9,0.962972298809324,0.992853707653481,0.998775400642434,0.999797383163243,0.999966680788746,0.999994252431555,0.99999869723657,0.999999403514952,0.999999503805322,0.999999483037611,0.999999377006462,0.999999061572054,0.99999825868847,0.999996628092634,0.999992659819435,0.999984643489696,0.999972574010073,0.999951907466374,0.999916392968154,0.999859646573894,0.99985944306061
6,0.9,0.961236119061274,0.991818271909084,0.998559968349312,0.999756552501043,0.999959245332757,0.999992936098764,0.999998467569951,0.999999366489009,0.999999510736721,0.999999533106204,0.999999534406638,0.999999523717672,0.999999486153561,0.999999404475975,0.999999136937828,0.999998473390038,0.999997362442322,0.999994931488057,0.99998863343203,0.999971782702415,0.999971579189131
7,0.9,0.959757118609271,0.990687067561945,0.998319600469375,0.999710266642982,0.999950695603228,0.999991397039833,0.999998195948208,0.999999319316561,0.99999950317076,0.999999533006235,0.999999537811011,0.99999953542224,0.99999953868988,0.999999533433485,0.999999472068728,0.999999491851789,0.999999496208409,0.999998963018819,0.999998273643049,0.999996886939473,0.999996683426189
8,0.9,0.958437557586693,0.989481598479263,0.99805670708631,0.999658669560271,0.999941011397212,0.999989627319028,0.999997879053854,0.999999263518094,0.999999493486832,0.999999531346866,0.999999537529845,0.99999953853297,0.999999538682904,0.999999538723176,0.999999538728101,0.999999516937952,0.99999939697,0.999999538723762,0.999999538724126,0.999998315769411,0.999998112256127
9,0.9,0.957217396935192,0.988213063220887,0.99777234890748,0.999601718407321,0.999930145609521,0.999987611675878,0.999997512983814,0.999999198191571,0.999999482002819,0.999999529354173,0.999999536327191,0.999999538473903,0.999999538680863,0.999999530451165,0.999999538725759,0.999999538725036,0.999999538724198,0.999999205821471,0.999999538724139,0.999999152517458,0.999998949004174
10,0.9,0.956060606505538,0.986887494348323,0.997466923166796,0.999539272984812,0.999918035905689,0.999985332129338,0.999997093270492,0.999999122306894,0.99999946849381,0.999999526981488,0.99999953677637,0.99999953792653,0.999999538669586,0.999999538713387,0.999999538725804,0.999999538725304,0.999999538724264,0.999999538723782,0.999999538724147,0.99999953871924,0.999999335205956
11,0.9,0.954945148951388,0.985508473646565,0.997140453648005,0.99947113237716,0.999904609416921,0.999982768534163,0.999996614966338,0.999999034737865,0.999999452716963,0.999999523768608,0.999999536284404,0.999999537704037,0.999999538655628,0.999999538709172,0.999999536564063,0.999999538725688,0.999999538724373,0.999999538723792,0.999999538724154,0.999999538719289,0.999999335206005
12,0.9,0.953855564694011,0.984078063521599,0.996792678552338,0.999397052904593,0.999889785779686,0.999979899207634,0.999996072797762,0.999998934274633,0.999999434407883,0.999999520889259,0.999999535700972,0.999999538215196,0.999999538638288,0.999999538704268,0.99999953872597,0.999999538726215,0.999999538724515,0.999999538723806,0.999999538724162,0.999999538719337,0.999999335206053
13,0.9,0.952782453768615,0.982597846360059,0.996422873365222,0.999316714637924,0.999873471602208,0.999976700004426,0.999995460965458,0.999998819594652,0.999999413277393,0.999999517053059,0.999999535013519,0.999999538093404,0.999999538617178,0.999999538698446,0.999999538726106,0.999999538726951,0.999999538724718,0.999999538723826,0.999999538724168,0.999999538719385,0.999999335206101
14,0.9,0.951719425707765,0.981070402357199,0.996029606310983,0.999229684256233,0.999855554540494,0.999973143369209,0.99999477289718,0.999998689217621,0.999999389003266,0.999999512601717,0.999999534208057,0.999999537949328,0.999999538592074,0.999999538691703,0.999999538725947,0.999999538727796,0.999999538724979,0.999999538723858,0.999999538724175,0.999999538719432,0.999999335206148
15,0.9,0.950662555503378,0.979500638270689,0.995610022888317,0.999135302259053,0.999835886086037,0.999969195670827,0.999994001081993,0.999998541474212,0.999999361223261,0.999999507458562,0.999999533268739,0.999999537779785,0.999999538562201,0.999999538684156,0.999999538725401,0.999999538728694,0.999999538725292,0.999999538723903,0.999999538724183,0.999999538719477,0.999999335206193
