Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.9,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
1,0.9,0.951995544509313,0.982535856587011,0.996365140314343,0.999236240709588,0.999726245747946,0.99979421828539,0.999800343245797,0.999799875454633,0.999799465391634,0.999799336330244,0.999799305671277,0.999799299484164,0.999799298362713,0.999799298194763,0.99979929816629,0.999799298159846,0.999799298159542,0.999799298159219,0.999799298159128,0.999799298153124,0.99979912293811
2,0.9,0.950269503210403,0.979719278657981,0.995412028962026,0.999041094469706,0.999799695771588,0.999942041825527,0.999945443894084,0.999902254727616,0.999848690184486,0.999819655113852,0.999806862475105,0.999801876395521,0.999800112183678,0.999799540968337,0.999799370190688,0.999799322745757,0.999799310424489,0.999799307416732,0.99979930672308,0.999799306552742,0.999799131337705
3,0.9,0.948505482971211,0.977129565151626,0.994499898661919,0.998801905486053,0.999748067711229,0.999947009147453,0.999986940464323,0.999992331654905,0.999985921456645,0.999969084671082,0.999939900169191,0.999891083300186,0.999845514636624,0.999820493882215,0.999808307940178,0.999802872648579,0.99980063209614,0.999799770239065,0.999799463065939,0.999799347200803,0.999799171985766
4,0.9,0.946652240066676,0.974585402756413,0.993441313430647,0.998518251331126,0.999679202360579,0.999931297916438,0.999984985629193,0.999996199610578,0.999998267049496,0.999997729296644,0.999995428424286,0.999990013294526,0.999979371886067,0.999961606796222,0.999927195786199,0.999879875522125,0.999841854979066,0.999820115729301,0.999809385142812,0.999802793045936,0.999802617830899
5,0.9,0.944688708155261,0.972204497045235,0.99220553875195,0.998181212082134,0.999596372015883,0.999911731514688,0.999980504577226,0.99999532818439,0.999998492707224,0.999999123577044,0.999999150261994,0.999998892880712,0.999998156853721,0.99999655450258,0.999992575041949,0.999984769394051,0.99997333892717,0.999953048561909,0.999917418764818,0.999860362413861,0.999860187198824
6,0.9,0.942593714143074,0.970020146855961,0.990797521270875,0.997787380948997,0.999498064119537,0.999888219333033,0.999975000893219,0.999994060605098,0.999998207677281,0.999999097385949,0.999999288057077,0.999999326918474,0.9999993075384,0.999999224794957,0.999998958433501,0.99999834906614,0.999997327170582,0.999994984043122,0.999988612787462,0.999971972642839,0.999971797427803
7,0.9,0.940349555433397,0.96800171706989,0.989235606038435,0.997336828654529,0.999383425681993,0.99986041020829,0.999968405756699,0.999992520847589,0.999997852713842,0.999999021915916,0.999999276392782,0.99999933139791,0.999999335322802,0.999999336579164,0.999999321738143,0.999999280127697,0.999999281730553,0.999998991284562,0.999998147877029,0.999996729698292,0.999996554483255
8,0.9,0.937944534578775,0.966111489474886,0.987533494788662,0.996828988784865,0.999251472795391,0.999827925933066,0.999960608938218,0.999990675923144,0.999997421846686,0.999998922439781,0.999999252073253,0.999999326251108,0.999999342055319,0.999999342874411,0.999999346211967,0.999999346354723,0.99999928155645,0.999999346413288,0.999999346411536,0.999999124388013,0.999998949172976
9,0.9,0.935373264628908,0.964321865049127,0.985699867326853,0.996261758489823,0.999100838226944,0.999790307554755,0.999951403133402,0.999988477092211,0.999996903144338,0.999998801392861,0.999999225689105,0.999999315835671,0.999999339529228,0.999999345147189,0.999999344756358,0.999999346350866,0.999999346393022,0.999999134307813,0.999999162449336,0.999999346404323,0.999999171189286
10,0.9,0.932635112066199,0.962613694302608,0.983742520299823,0.995631033079529,0.998929666595424,0.999746964458289,0.999940725422321,0.999985887294106,0.999996284062265,0.999998652550755,0.999999191537801,0.999999299813107,0.999999329710964,0.999999344734574,0.999999336458671,0.999999304065377,0.99999934638713,0.999999247739772,0.999999020966275,0.999999094880944,0.999998919665907
11,0.9,0.929731773970085,0.960973736455803,0.981675191001818,0.994928884036591,0.99873521400512,0.999697078136063,0.999928475304215,0.99998288570234,0.999995558120953,0.999998481142634,0.999999150505589,0.99999930233499,0.999999330998889,0.999999344221446,0.99999934592606,0.999999346303228,0.999999346377397,0.999999346408036,0.999999346412165,0.999999230257814,0.999999055042778
12,0.9,0.926657759957693,0.959391631344139,0.979527812876806,0.994140975116936,0.998513216588199,0.999639628492277,0.999913916995742,0.999979308110251,0.999994690523762,0.999998273468318,0.999999100999809,0.999999290666504,0.999999331966476,0.999999332084431,0.999999345779682,0.999999346271513,0.999999346366811,0.999999346406187,0.999999346412963,0.999999308897589,0.999999133682552
