Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.0437345958308513,0.0174402987911827,0.00361342715414718,0.000685585214802572,0.000124271937746284,2.20695803752446e-05,4.20495855765644e-06,1.2094134524643e-06,7.28372772712083e-07,6.54474397068908e-07,6.43621620943086e-07,6.4209546377348e-07,6.41906021364184e-07,6.41864663631378e-07,6.41858717733594e-07,6.41862492479369e-07,6.41863461150497e-07,6.41863445644714e-07,6.41863383996035e-07,6.41863171930036e-07,6.41863171930031e-07
2,0.05,0.0447444544322755,0.0202493575568948,0.00459404627642792,0.000958824786436901,0.000194284759049764,3.92441405976456e-05,8.25622147401052e-06,2.12467297773445e-06,9.22794304508358e-07,6.89502674312786e-07,6.44699157397335e-07,6.36196317100359e-07,6.34603321113195e-07,6.34310415948449e-07,6.34260093457418e-07,6.34243868105138e-07,6.34242937840545e-07,6.34243575851742e-07,6.34243757617767e-07,6.34243747783849e-07,6.34243747783844e-07
3,0.05,0.0456704653022639,0.0228233576563404,0.00550758673664304,0.00119987702037639,0.000252229867885858,5.26452260960915e-05,1.12845280164377e-05,2.79757536049044e-06,1.07038151707709e-06,7.21540569017667e-07,6.5159448213869e-07,6.37667422639619e-07,6.34913496167493e-07,6.3437021096401e-07,6.34277450433143e-07,6.34241406475113e-07,6.34236833421341e-07,6.3423892799059e-07,6.34239762917342e-07,6.34239864416607e-07,6.34239864416602e-07
4,0.05,0.0465381284237975,0.0253464959585583,0.00656771000955864,0.0014840445704403,0.000321288393553186,6.87906723010609e-05,1.4975011736623e-05,3.6269060283659e-06,1.2541163205799e-06,7.61744762435941e-07,6.60295451494625e-07,6.39531884836625e-07,6.35309657461805e-07,6.34453351074093e-07,6.34293190938103e-07,6.34248888023375e-07,6.34237252738239e-07,6.34238259252454e-07,6.34239586389935e-07,6.34239945756954e-07,6.34239945756949e-07
5,0.05,0.0473430136776824,0.027700830000928,0.00780502750726973,0.00182162650884387,0.000404257689747678,8.8391089746731e-05,1.95069507403292e-05,4.65832377873559e-06,1.48576739744172e-06,8.13171337480311e-07,6.7159388226033e-07,6.41990882066842e-07,6.35839808839427e-07,6.34568811528525e-07,6.3430857300408e-07,6.34258857782413e-07,6.34240628401592e-07,6.34238749875863e-07,6.34239557803476e-07,6.34239924382436e-07,6.34239924382431e-07
6,0.05,0.0480802740930288,0.029853091896352,0.00921429736637845,0.0022159972728238,0.000502711802885939,0.000111940274001148,2.5019068431798e-05,5.92880190478689e-06,1.77486867722442e-06,8.78220770648884e-07,6.86083139842699e-07,6.45188732395501e-07,6.36539613001029e-07,6.34721010878365e-07,6.34340289807898e-07,6.34269476653769e-07,6.34241295713573e-07,6.34237762976391e-07,6.34239162376632e-07,6.34239869809345e-07,6.3423986980934e-07
7,0.05,0.0487439881305531,0.031833018830127,0.0107771826329178,0.00266709546186461,0.000617510640372321,0.000139791744602774,3.16246443542678e-05,7.47127969881467e-06,2.13048155363727e-06,9.59292952881366e-07,7.04380907310543e-07,6.4928090040506e-07,6.37447119405421e-07,6.34920897946604e-07,6.34383027753148e-07,6.34283209921727e-07,6.34242696459011e-07,6.34236306702589e-07,6.34238498140232e-07,6.3423976615624e-07,6.34239766156235e-07
8,0.05,0.049328048446438,0.0336768948359318,0.012479943073511,0.00317546865640294,0.000749627090777536,0.000172318974861179,3.94411493310513e-05,9.31987188556828e-06,2.56205426372428e-06,1.05891707922675e-06,7.271464084572e-07,6.54435488538854e-07,6.38604392139171e-07,6.35178843681336e-07,6.34439597173989e-07,6.3429625477817e-07,6.34247225402818e-07,6.34236037189499e-07,6.34237841807569e-07,6.34239599929331e-07,6.34239599929326e-07
9,0.05,0.0498291314265397,0.0354108946695784,0.0143141480884697,0.00374326397967388,0.000900433790989536,0.000209990639802968,4.86090739292347e-05,1.15144657351683e-05,3.08052770066009e-06,1.18001499936215e-06,7.55142688140796e-07,6.60847940764739e-07,6.40060746359305e-07,6.35506607610588e-07,6.3451514760807e-07,6.34300947224541e-07,6.34256506067277e-07,6.34240473319873e-07,6.34238669567911e-07,6.34239538358988e-07,6.34239538358983e-07
10,0.05,0.0502485350668002,0.0370525881164571,0.016271610598172,0.00437464890732728,0.0010718168956701,0.00025339793364153,5.92981097220123e-05,1.41021085552306e-05,3.6986512750968e-06,1.32597503710442e-06,7.89254408885648e-07,6.68745523759828e-07,6.41873558961056e-07,6.35919406645399e-07,6.34608172993305e-07,6.34323599070977e-07,6.34262873969621e-07,6.34239893039859e-07,6.34237775742268e-07,6.34239346590131e-07,6.34239346590126e-07
11,0.05,0.0505925980239145,0.0386145440856751,0.0183385343475358,0.00507753728532921,0.00126651674717058,0.000303319332775177,7.17190660878678e-05,1.71391916140686e-05,4.43138686922757e-06,1.50072814827338e-06,8.30502639590508e-07,6.7839027205798e-07,6.44109259722722e-07,6.36433591891775e-07,6.34725571841079e-07,6.34348556454487e-07,6.34272581551463e-07,6.34240914689866e-07,6.34236924306812e-07,6.34238960302868e-07,6.34238960302863e-07
12,0.05,0.0508724062473126,0.0401054274897723,0.0204857170990881,0.00586636011550627,0.00148879369132716,0.000360868154605848,8.61548374558132e-05,2.06978340662832e-05,5.29722205392628e-06,1.70902034403292e-06,8.80102350190183e-07,6.90091388371612e-07,6.46846045980098e-07,6.37068398264859e-07,6.34872679148924e-07,6.34378967351908e-07,6.34283536861664e-07,6.34243440896978e-07,6.34236205304734e-07,6.34238574351392e-07,6.34238574351387e-07
13,0.05,0.0511020402838771,0.0415323760219067,0.0226595840149446,0.00676243225123167,0.00174478362951212,0.000427613988885057,0.000102992805368026,2.48738358268112e-05,6.32004546316537e-06,1.95684569642291e-06,9.39561411831414e-07,7.04227917712946e-07,6.50178786387283e-07,6.37847970839425e-07,6.35053375711878e-07,6.34422084795354e-07,6.34294797527621e-07,6.34245044139908e-07,6.34235451603628e-07,6.34238028697114e-07,6.34238028697109e-07
