Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.00428778303658825,4.50031915901379e-05,3.46926478890511e-07,2.20951615392467e-08,1.9469308782726e-08,1.93647921580582e-08,1.93451532509869e-08,1.93455961511149e-08,1.93459525854047e-08,1.93463459738673e-08,1.93467898287129e-08,1.93472671738797e-08,1.93477723817029e-08,1.93483019938366e-08,1.93488530272386e-08,1.93494225734956e-08,1.93500078887501e-08,1.93506064462506e-08,1.9351215922554e-08,1.93518378429691e-08,1.94566851258619e-07
2,0.05,0.00500370950045781,5.84549397492317e-05,4.74298001655935e-07,2.33120881671208e-08,1.95391200233655e-08,1.93801484356559e-08,1.93517050423633e-08,1.93457331581793e-08,1.93459937366621e-08,1.93463677835745e-08,1.93468012749613e-08,1.93472753353068e-08,1.93477788863732e-08,1.93483071973627e-08,1.93488569749426e-08,1.93494252682308e-08,1.93500093392592e-08,1.93506066654721e-08,1.93512149020427e-08,1.93518357972212e-08,1.94566872383775e-07
3,0.05,0.00584173837295331,7.49032336549973e-05,6.35381271357454e-07,2.47851395300828e-08,1.96003379654381e-08,1.9391878471228e-08,1.93548088750432e-08,1.93457574501109e-08,1.93460085427412e-08,1.93463753927353e-08,1.93468026107025e-08,1.93472751266715e-08,1.93477783591146e-08,1.93483066135878e-08,1.93488563962875e-08,1.93494247042248e-08,1.9350008795809e-08,1.9350606145492e-08,1.93512144055626e-08,1.93518355464508e-08,1.94566872491161e-07
4,0.05,0.00682735842803657,9.53101176078818e-05,8.44883359968457e-07,2.67067119454173e-08,1.9674662101628e-08,1.94063267005396e-08,1.93719200359619e-08,1.93459653041657e-08,1.93459234338869e-08,1.93463830623336e-08,1.93468047055932e-08,1.93472751111925e-08,1.93477779227424e-08,1.93483060961416e-08,1.93488558699053e-08,1.93494241870275e-08,1.93500082889849e-08,1.93506056518117e-08,1.93512139249094e-08,1.93518353007273e-08,1.94566872287018e-07
5,0.05,0.00798605030176173,0.000120389440484356,1.11660776821868e-06,2.92166527867628e-08,1.9765647514288e-08,1.9424154029734e-08,1.93481173155689e-08,1.93456128951341e-08,1.93460546687502e-08,1.93463965856617e-08,1.9346807264798e-08,1.93472753863706e-08,1.93477776399649e-08,1.93483056839653e-08,1.93488554212507e-08,1.93494237320273e-08,1.93500078303126e-08,1.93506051926131e-08,1.93512134657943e-08,1.93518350618608e-08,1.94566872104431e-07
6,0.05,0.00934377688591567,0.000151051747558497,1.46790867472946e-06,3.24876578706989e-08,1.9876079739844e-08,1.94455562688751e-08,1.93309056856361e-08,1.93493644704179e-08,1.93460781775018e-08,1.93464014505917e-08,1.93468106964168e-08,1.9347275888251e-08,1.93477774019811e-08,1.934830527951e-08,1.93488549754279e-08,1.93494232753902e-08,1.93500073683522e-08,1.93506047296765e-08,1.93512130024349e-08,1.93518348218777e-08,1.9456687157233e-07
7,0.05,0.0109241090799969,0.000188453470734888,1.92074994445827e-06,3.67404642902035e-08,2.00085139189351e-08,1.9471068495019e-08,1.92823466469578e-08,1.93503597071787e-08,1.93461415801189e-08,1.93464135472712e-08,1.93468149966234e-08,1.93472765585263e-08,1.93477771588672e-08,1.93483048336479e-08,1.93488544868643e-08,1.93494227828517e-08,1.93500068786775e-08,1.93506042472965e-08,1.93512125281071e-08,1.93518345778902e-08,1.94566871381923e-07
8,0.05,0.0127447022680268,0.00023390876604068,2.50219296089963e-06,4.2258795118174e-08,2.01661731498601e-08,1.9499079187352e-08,1.96900565144741e-08,1.93532217194928e-08,1.93469372064826e-08,1.93464331652136e-08,1.93468186780446e-08,1.93472774312329e-08,1.93477769375417e-08,1.93483043589853e-08,1.93488539637356e-08,1.93494222587081e-08,1.9350006365468e-08,1.93506037476138e-08,1.93512120432677e-08,1.93518343304546e-08,1.94566871181078e-07
9,0.05,0.0148142850685616,0.000288793274018697,3.24454637127022e-06,4.94018920091264e-08,2.03532606676327e-08,1.95337943969416e-08,1.75733967598758e-08,1.93512056797144e-08,1.93417339966153e-08,1.93463743138448e-08,1.93468326159371e-08,1.93472788938378e-08,1.93477767604465e-08,1.93483038810201e-08,1.93488534268358e-08,1.93494217153681e-08,1.93500058321627e-08,1.93506032441587e-08,1.93512115562962e-08,1.93518340809979e-08,1.94566871019493e-07
10,0.05,0.0171322819350885,0.000354456087035342,4.18492454997301e-06,5.86123860846728e-08,2.0575212147232e-08,1.95751565676639e-08,1.841480676891e-08,1.935495140387e-08,1.93435428839476e-08,1.93464036925073e-08,1.93468375463645e-08,1.93472804743816e-08,1.93477767044802e-08,1.93483034304203e-08,1.93488528971504e-08,1.93494211814312e-08,1.93500053206226e-08,1.93506027290588e-08,1.93512110613762e-08,1.93518338318054e-08,1.94566870593284e-07
11,0.05,0.0196904525815854,0.000432087855633969,5.36395080787653e-06,7.04285907654847e-08,2.08391001738123e-08,1.9638300582791e-08,2.30905572811031e-08,1.93677428331435e-08,1.93552091594984e-08,1.93465654896433e-08,1.93468146924553e-08,1.93472818634742e-08,1.93477768355297e-08,1.93483030251137e-08,1.9348852386052e-08,1.9349420655495e-08,1.93500048029632e-08,1.93506022352964e-08,1.93512105783582e-08,1.93518335830934e-08,1.94566870432786e-07
12,0.05,0.0224838311540111,0.000522680399137442,6.82322908664219e-06,8.54920776087958e-08,2.11548806681346e-08,1.96726138126801e-08,1.88998938707672e-08,1.93536287068823e-08,1.93485583858618e-08,1.93465177615682e-08,1.93468479385859e-08,1.93472849059279e-08,1.93477770333032e-08,1.93483026706696e-08,1.93488519005255e-08,1.934942014642e-08,1.93500042978187e-08,1.93506017390338e-08,1.93512100971801e-08,1.93518333366793e-08,1.9456687017669e-07
13,0.05,0.0255183766530579,0.000627258826756683,8.60442193465481e-06,1.04571308565621e-07,2.15349161694931e-08,1.972542206563e-08,1.94625756277017e-08,1.93291517742805e-08,1.93498805776094e-08,1.93465959841598e-08,1.93468425972773e-08,1.93472877954432e-08,1.93477775009502e-08,1.93483023907585e-08,1.93488514503333e-08,1.93494196610329e-08,1.93500038118597e-08,1.93506012582648e-08,1.93512096216478e-08,1.93518330919155e-08,1.9456686998586e-07
14,0.05,0.0287535067819606,0.000749091429346711,1.07739305356273e-05,1.28771789001858e-07,2.19954964650451e-08,1.98037521466782e-08,1.94573926682447e-08,1.94980341039448e-08,1.93529897897994e-08,1.93460529630631e-08,1.9346852326955e-08,1.93472931123522e-08,1.93477784430763e-08,1.93483023945467e-08,1.93488512128524e-08,1.93494193434154e-08,1.93500034501226e-08,1.93506008686512e-08,1.93512092034241e-08,1.93518328655941e-08,1.94566869659559e-07
15,0.05,0.0317947200588334,0.00090227801118522,1.35412057436261e-05,1.60554277794534e-07,2.25630684238505e-08,1.9888042874267e-08,1.94739175464086e-08,1.97081034070398e-08,1.93560062660139e-08,1.93466578348367e-08,1.93468628610494e-08,1.93472984387215e-08,1.93477810201323e-08,1.93483037112172e-08,1.93488520485071e-08,1.93494198959511e-08,1.93500037654531e-08,1.93506009635179e-08,1.93512090760379e-08,1.93518327372217e-08,1.94566869532888e-07
16,0.05,0.0339134911221293,0.00109281810708222,1.70538909958357e-05,2.02315533057441e-07,2.32650375366451e-08,1.99850974724635e-08,1.95010536794494e-08,1.87581844931306e-08,1.93478204752417e-08,1.93465261771002e-08,1.93468991809773e-08,1.9347307354889e-08,1.93477847373431e-08,1.93483058739273e-08,1.9348853562752e-08,1.93494209944526e-08,1.93500045051117e-08,1.93506013605672e-08,1.93512091308728e-08,1.93518326698366e-08,1.94566869458804e-07
17,0.05,0.0353114950978116,0.00130994931379354,2.11766780584995e-05,2.53632604506264e-07,2.40891575838709e-08,2.00940654182414e-08,1.95288962104048e-08,2.09071588507424e-08,1.93711158014223e-08,1.93469880992456e-08,1.93468346231567e-08,1.93473099723922e-08,1.9347784743292e-08,1.93483044974864e-08,1.93488520247546e-08,1.93494195819168e-08,1.93500032868334e-08,1.9350600355382e-08,1.93512083400935e-08,1.93518323185616e-08,1.94566869106173e-07
18,0.05,0.0363949458379954,0.00157175607005394,2.63589235037416e-05,3.19463938596198e-07,2.50622880495659e-08,2.02104861675121e-08,1.95589831519687e-08,6.28529081961722e-09,1.92209190603956e-08,1.93444199218744e-08,1.93469200950178e-08,1.93473228184547e-08,1.93477862116728e-08,1.9348304335146e-08,1.93488514737708e-08,1.93494189634406e-08,1.93500026833957e-08,1.93505997894549e-08,1.93512078137216e-08,1.93518320557104e-08,1.94566868839326e-07
19,0.05,0.0372334011347955,0.00185161723790679,3.24427202078765e-05,4.0448169334522e-07,2.63552733814565e-08,2.0359963490814e-08,1.95968593374562e-08,1.15650804453184e-07,2.03882008423855e-08,1.93635702432288e-08,1.93471628440772e-08,1.93472789786716e-08,1.93477936432612e-08,1.93483103702509e-08,1.93488560282894e-08,1.93494225103594e-08,1.9350005321293e-08,1.93506015435857e-08,1.93512086865049e-08,1.93518322623034e-08,1.94566869051621e-07
20,0.05,0.0379481355469414,0.00215544674334897,3.92814508799311e-05,5.06374360412233e-07,2.7881666964306e-08,2.05290951766423e-08,1.96358462246385e-08,1.93781137643146e-08,1.94018786807334e-08,1.93518170158168e-08,1.93467728190787e-08,1.93473276290114e-08,1.93477991445271e-08,1.93483119261841e-08,1.93488568283115e-08,1.93494229695343e-08,1.93500055506589e-08,1.93506015709044e-08,1.9351208520068e-08,1.93518321204372e-08,1.94566868881049e-07
21,0.05,0.038588977248256,0.00249700803537591,4.72363227401178e-05,6.31290196975758e-07,2.97199800612136e-08,2.0719520179358e-08,1.96838790217206e-08,1.93896200992134e-08,1.940536800757e-08,1.93526759231035e-08,1.93467699393372e-08,1.93473340502985e-08,1.93478025452295e-08,1.93483126563042e-08,1.93488567881751e-08,1.93494227121316e-08,1.93500052164623e-08,1.93506011920492e-08,1.93512081071217e-08,1.93518318970987e-08,1.94566869138984e-07
22,0.05,0.0391768521493889,0.00288350567730964,5.6526241498276e-05,7.8456064714206e-07,3.19598837309338e-08,2.09371599983115e-08,1.97387988948939e-08,1.94037403142352e-08,1.94093999490267e-08,1.93536507310797e-08,1.93467643524688e-08,1.93473409004279e-08,1.93478061812768e-08,1.93483132883598e-08,1.93488565660992e-08,1.93494222834145e-08,1.93500047428391e-08,1.93506007139285e-08,1.9351207637346e-08,1.93518316518156e-08,1.94566868409621e-07
23,0.05,0.0397245332069759,0.00332375150117056,6.74148263732036e-05,9.72060385728374e-07,3.47025770872626e-08,2.11871222799708e-08,1.98017911480531e-08,1.94200782023274e-08,1.94136544390795e-08,1.93547776347015e-08,1.93467598230445e-08,1.9347347521138e-08,1.93478102446636e-08,1.93483139881424e-08,1.93488562890312e-08,1.93494217800494e-08,1.93500042041556e-08,1.93506001882107e-08,1.93512071348028e-08,1.93518313971803e-08,1.94566868309704e-07
24,0.05,0.0402464467401641,0.00382920357935248,8.01093761285729e-05,1.19767754087923e-06,3.80318726582492e-08,2.14732276938341e-08,1.98740653588043e-08,1.94389311892522e-08,1.9418506538122e-08,1.93559861952444e-08,1.93467501675743e-08,1.9347352360176e-08,1.93478133667445e-08,1.93483135347473e-08,1.93488549034463e-08,1.93494203345005e-08,1.93500029235967e-08,1.93505991295512e-08,1.93512063116087e-08,1.935183103404e-08,1.94566867930716e-07
25,0.05,0.0407503856640943,0.0044288755595543,9.55247963888045e-05,1.47632965789431e-06,4.2116039063566e-08,2.17938854855292e-08,1.99550983365268e-08,1.94602679727191e-08,1.94241626874331e-08,1.9341983689912e-08,1.9346407626234e-08,1.93473917812454e-08,1.93478186125363e-08,1.9348313597848e-08,1.93488538522899e-08,1.93494191254225e-08,1.93500018174662e-08,1.93505981935069e-08,1.93512055616241e-08,1.93518306953487e-08,1.94566867589757e-07
26,0.05,0.0412296091868376,0.00513307291640684,0.000114076375789278,1.81929664657263e-06,4.71790771835656e-08,2.21616378096118e-08,2.00477231065536e-08,1.94847412848779e-08,1.94303067088534e-08,1.90486742500822e-08,1.93421918156882e-08,1.93473969061706e-08,1.93478316456147e-08,1.93483146267212e-08,1.93488533225079e-08,1.93494183079496e-08,1.93500010059621e-08,1.93505974659057e-08,1.9351204936832e-08,1.93518303984649e-08,1.94566867297832e-07
27,0.05,0.0416865320582139,0.00597274312000381,0.000136684895989027,2.24189701583537e-06,5.33983984734882e-08,2.25708889821374e-08,2.01511098721512e-08,1.95123641048015e-08,1.94378465825008e-08,1.66569192487928e-08,1.93166660884603e-08,1.93474479514564e-08,1.93478584985775e-08,1.93483154067008e-08,1.93488522920372e-08,1.93494170498305e-08,1.9349999838808e-08,1.93505964809027e-08,1.93512041549028e-08,1.93518300496525e-08,1.94566867130157e-07
28,0.05,0.0421234782157872,0.00698583089354713,0.000164728746327995,2.76999243600341e-06,6.10945313961094e-08,2.30198046776731e-08,2.02645608996237e-08,1.95431103525221e-08,1.94457432190585e-08,2.26585436631633e-08,1.93720433030235e-08,1.93472578196142e-08,1.93478291934671e-08,1.93483158056765e-08,1.93488510828098e-08,1.93494154944164e-08,1.93499984222865e-08,1.93505953143615e-08,1.93512032609984e-08,1.93518296648458e-08,1.9456686613117e-07
29,0.05,0.0425417159896663,0.00818207631244585,0.000199196728851622,3.43455391299027e-06,7.083581857037e-08,2.3526744135555e-08,2.03907725898809e-08,1.95775286073283e-08,1.94553951445964e-08,1.9358101241874e-08,0,1.93512078628001e-08,1.93481980128432e-08,1.93482689057914e-08,1.93488487063912e-08,1.93494147974801e-08,1.93499975548687e-08,1.93505945202028e-08,1.93512025899344e-08,1.93518293528232e-08,1.94566865736e-07
30,0.05,0.0429418754356605,0.0095481223959957,0.000240225497566984,4.25572618562674e-06,8.32222410487415e-08,2.4118605252825e-08,2.05350562220937e-08,1.96167294682337e-08,1.94659757033144e-08,1.91139806457146e-08,1.9304747835066e-08,1.93948507893317e-08,1.93484640796163e-08,1.93482800695245e-08,1.93488480032982e-08,1.93494143067693e-08,1.93499975211416e-08,1.93505943118174e-08,1.93512022666761e-08,1.93518291589557e-08,1.94566865306416e-07
31,0.05,0.0433247222788535,0.0110873206971997,0.000288121031651627,5.25050432230698e-06,9.87839890450659e-08,2.48085815480244e-08,2.07002162743801e-08,1.96616353605149e-08,1.94773712711123e-08,1.9373066847134e-08,1.93115081669937e-08,1.93813726070312e-08,1.93485226009279e-08,1.93481551744493e-08,1.93488488321701e-08,1.93494156347429e-08,1.93499975135456e-08,1.9350594152646e-08,1.93512019867588e-08,1.93518289752303e-08,1.9456686616534e-07
32,0.05,0.0436913514975881,0.0128190029012894,0.00034362297860599,6.44271219517387e-06,1.18149906410456e-07,2.5607567527117e-08,2.08881254268874e-08,1.97128445036267e-08,1.94918097817677e-08,1.93856913427377e-08,1.93116072401975e-08,1.93833098576374e-08,1.93485503267111e-08,1.93481708595278e-08,1.93488499762887e-08,1.93494158962341e-08,1.93499974467169e-08,1.93505939333959e-08,1.93512016630249e-08,1.93518287802806e-08,1.94566864542729e-07
33,0.05,0.0440430085046978,0.0147653023426646,0.000407653851247633,7.86208307604047e-06,1.42096695832227e-07,2.65330441446804e-08,2.11016116740361e-08,1.97711899431107e-08,1.95070422184286e-08,1.93852080712514e-08,1.93133781436828e-08,1.93821917808549e-08,1.93485783229985e-08,1.93481659087467e-08,1.93488510308993e-08,1.93494161284866e-08,1.93499972820249e-08,1.93505936317335e-08,1.9351201285894e-08,1.93518285642001e-08,1.94566865046807e-07
34,0.05,0.0443809079155063,0.0169382585738235,0.000481579865943483,9.5476825724523e-06,1.7158116380063e-07,2.76099933588809e-08,2.13447176009202e-08,1.98377725358482e-08,1.95250804793079e-08,1.93913551990942e-08,1.93146696966284e-08,1.93824385082096e-08,1.93486162119228e-08,1.93481608344047e-08,1.93488521741796e-08,1.93494163352392e-08,1.93499970677168e-08,1.93505932902507e-08,1.93512008852721e-08,1.93518283423879e-08,1.94566864330004e-07
35,0.05,0.0447055961674661,0.0192938851397601,0.000568896283832847,1.15760085583775e-05,2.08073245807059e-07,2.88723644082029e-08,2.16223909369038e-08,1.99139428722032e-08,1.95454926090603e-08,1.93956686541862e-08,1.93162651006435e-08,1.93821585674088e-08,1.93486479164955e-08,1.93481601082252e-08,1.93488536775694e-08,1.93494166977052e-08,1.93499969423873e-08,1.93505930022258e-08,1.93512005142735e-08,1.93518281292649e-08,1.94566863732295e-07
36,0.05,0.0450149162287688,0.0216274355967253,0.000677346744224717,1.41035542191439e-05,2.54225695849946e-07,3.03705995933523e-08,2.19407202937238e-08,2.00013217159355e-08,1.95689923136099e-08,1.9401781505911e-08,1.9317987550583e-08,1.93820742367745e-08,1.93486821414599e-08,1.93481604213788e-08,1.93488559978767e-08,1.93494175890556e-08,1.93499971886069e-08,1.93505929678805e-08,1.93512002956696e-08,1.93518279670618e-08,1.94566863581791e-07
