Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.0266547119927469,0.00419623229225305,0.000614879297527307,8.85106315870044e-05,1.29241782302422e-05,2.19580417365204e-06,6.90161560218047e-07,4.81645676523131e-07,4.5323551220186e-07,4.49439536557107e-07,4.48944667201912e-07,4.48886943367835e-07,4.48870896561092e-07,4.48871917489719e-07,4.48872873673634e-07,4.48873032129526e-07,4.48872961743832e-07,4.48873040988152e-07,4.48872720929613e-07,4.48877762064867e-07,4.48877762064892e-07
2,0.05,0.0289400167055238,0.00481405756377022,0.000742197886557047,0.000112085165061892,1.70804228255143e-05,2.90758549191761e-06,8.09804885391617e-07,5.01499747680526e-07,4.56489675364594e-07,4.49961359292574e-07,4.49018339644074e-07,4.48897223276389e-07,4.48860139990438e-07,4.48858730242546e-07,4.48861602449165e-07,4.4886239915483e-07,4.48862400896773e-07,4.48862462445197e-07,4.48862023057603e-07,4.48867113851006e-07,4.4886711385103e-07
3,0.05,0.031257356637996,0.00547458056437438,0.000879924382691043,0.000137828015969197,2.16507980517754e-05,3.69229123095783e-06,9.41207934178565e-07,5.23069244156173e-07,4.59971113348431e-07,4.50512785116861e-07,4.49103005499319e-07,4.48897918092322e-07,4.48864490490244e-07,4.48857182133837e-07,4.48857822045901e-07,4.48858432908265e-07,4.48858486856519e-07,4.48858570585042e-07,4.48858124728205e-07,4.48863179175323e-07,4.48863179175348e-07
4,0.05,0.0335073268347314,0.00623381234263285,0.00103795422175345,0.00016753316569676,2.69810845026956e-05,4.61968339579617e-06,1.09900475851224e-06,5.49421082642188e-07,4.64304397460077e-07,4.51216063985288e-07,4.4921633898891e-07,4.48913606749031e-07,4.48870020277647e-07,4.48857717555665e-07,4.48857746076308e-07,4.48858514045092e-07,4.48858634345296e-07,4.48858729313918e-07,4.48858268741302e-07,4.48863279329594e-07,4.48863279329619e-07
5,0.05,0.0354555722857276,0.00713713742151369,0.00122454091983163,0.000202604092534501,3.33065971058013e-05,5.7351156945979e-06,1.29034705535877e-06,5.81649609376013e-07,4.69661406297382e-07,4.52096909208625e-07,4.49359847420984e-07,4.4893630911068e-07,4.4887607504398e-07,4.48857298833262e-07,4.48857110520618e-07,4.48858368519625e-07,4.4885862530134e-07,4.48858736245452e-07,4.48858259376893e-07,4.48863225316841e-07,4.48863225316865e-07
6,0.05,0.0370385744206262,0.0081711620118002,0.00143996460284089,0.000243434685999784,4.07422144664764e-05,7.05148168828307e-06,1.52001372250555e-06,6.21094715503331e-07,4.76333468131983e-07,4.53210578907988e-07,4.49543714591105e-07,4.48965914823917e-07,4.48883883337445e-07,4.48856934271659e-07,4.48856154314431e-07,4.48858130577033e-07,4.4885860663476e-07,4.48858745847039e-07,4.48858252556488e-07,4.48863173532581e-07,4.48863173532605e-07
7,0.05,0.0383581061527185,0.00930080411454752,0.00168032274483251,0.000289720465532399,4.9291951340051e-05,8.59053968727806e-06,1.79163546460394e-06,6.68267160325933e-07,4.84412881659642e-07,4.54577312900101e-07,4.49772431918429e-07,4.49003291783283e-07,4.48893328424207e-07,4.48856966233691e-07,4.48854947800684e-07,4.48857791155542e-07,4.48858570130493e-07,4.48858754771783e-07,4.48858246337748e-07,4.48863122442759e-07,4.48863122442784e-07
8,0.05,0.0395099552421364,0.010504540712708,0.00194320511548662,0.00034131745907714,5.89761515574118e-05,1.03602594974967e-05,2.10852982101318e-06,7.24065624475614e-07,4.94096809058326e-07,4.5623668234775e-07,4.50053598176913e-07,4.49050359473697e-07,4.4890030430814e-07,4.48859903902747e-07,4.48854845441606e-07,4.48857520167041e-07,4.48858507016238e-07,4.48858755286274e-07,4.48858239670116e-07,4.48863071775333e-07,4.48863071775358e-07
9,0.05,0.0405525367042732,0.0117711525356743,0.00222755084213816,0.000398268511156295,6.98419337389886e-05,1.23759015140821e-05,2.47459986718156e-06,7.89392145500079e-07,5.0558082042657e-07,4.58229374126781e-07,4.50395291448507e-07,4.49109426126595e-07,4.48902344911738e-07,4.48866173997524e-07,4.48857187968935e-07,4.48857771975763e-07,4.48858466546522e-07,4.48858737848717e-07,4.48858227279036e-07,4.48863021352485e-07,4.4886302135251e-07
10,0.05,0.0415204693362674,0.0130945846278521,0.00253296250537718,0.000460713819833449,8.19516305978027e-05,1.46554467697651e-05,2.89431319886374e-06,8.65276820437643e-07,5.19089827175497e-07,4.60602059036865e-07,4.50807072560736e-07,4.49180238684664e-07,4.48913621766501e-07,4.48869692962033e-07,4.4885714222016e-07,4.48857503363456e-07,4.48858400731097e-07,4.48858734476454e-07,4.48858218986464e-07,4.4886297131253e-07,4.48862971312554e-07
11,0.05,0.0424344799334903,0.0144712307906405,0.00285941611256313,0.000528854299243064,9.53781114750039e-05,1.72190405014048e-05,3.37261736833271e-06,9.52845847711649e-07,5.34866672785663e-07,4.63405172219615e-07,4.51299039056379e-07,4.49265716667025e-07,4.48927580324133e-07,4.48873908560439e-07,4.48857124438191e-07,4.48857119792896e-07,4.48858291269956e-07,4.48858724705401e-07,4.48858211629934e-07,4.48862922206917e-07,4.48862922206942e-07
12,0.05,0.0433086953187268,0.0158990014780865,0.00320717322623441,0.000602933627506814,0.000110201739887335,2.00883654288024e-05,3.91478520244864e-06,1.0533090718208e-06,5.53175751952086e-07,4.66694287760234e-07,4.51882470054649e-07,4.49368132634151e-07,4.4894492038535e-07,4.4887881243935e-07,4.48856976890955e-07,4.48856592842422e-07,4.48858149995538e-07,4.48858711067203e-07,4.48858204305017e-07,4.48862873723045e-07,4.4886287372307e-07
13,0.05,0.0441511707185083,0.0173762845546291,0.00357695809361726,0.000683271731909733,0.000126515907733446,2.32875669014509e-05,4.52661596522397e-06,1.16798903797776e-06,5.74306242367858e-07,4.70530486851765e-07,4.52569923213249e-07,4.4948992522383e-07,4.48966029918263e-07,4.4888463451998e-07,4.488568403928e-07,4.48855856732794e-07,4.48857946673162e-07,4.48858690721926e-07,4.48858198074198e-07,4.48862826192938e-07,4.48862826192963e-07
14,0.05,0.0449668919589905,0.0189004674000258,0.00397020218671272,0.000770301931160191,0.000144432958891766,2.68442003452347e-05,5.21468418667955e-06,1.29836606700493e-06,5.98580366706498e-07,4.74981828422016e-07,4.53375385255847e-07,4.49634001461813e-07,4.48991134066053e-07,4.48891376933325e-07,4.48856999644541e-07,4.48855011499956e-07,4.48857685882249e-07,4.48858658785045e-07,4.48858191424939e-07,4.48862779644789e-07,4.48862779644813e-07
