Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.0267412728675197,0.00420943590343663,0.000616808178319714,8.8784372781542e-05,1.29625210412718e-05,2.20124873233375e-06,6.9107745409883e-07,4.81926877180631e-07,4.53421937212612e-07,4.49612535375453e-07,4.49115180448078e-07,4.49056734678928e-07,4.49041291477698e-07,4.49042082676411e-07,4.49042979630536e-07,4.49043110674036e-07,4.49043080959181e-07,4.49043050975264e-07,4.49043026797134e-07,4.4904306793842e-07,4.49043067938427e-07
2,0.05,0.0290410362047567,0.0048306962341751,0.00074478448722132,0.000112475067731399,1.71384934824423e-05,2.91612761742957e-06,8.11050566339891e-07,5.01676978577134e-07,4.56513039763801e-07,4.499621199691e-07,4.49015905700218e-07,4.48894237277225e-07,4.48857005041113e-07,4.48855606465871e-07,4.48858507656624e-07,4.48859246087714e-07,4.48859283495501e-07,4.48859242209155e-07,4.48859212355107e-07,4.48859205970397e-07,4.48859205970404e-07
3,0.05,0.0313666597849967,0.00549547357915346,0.000883279535411541,0.000138347716979144,2.17303508489965e-05,3.70433466868823e-06,9.43025058698012e-07,5.23342762001428e-07,4.6001231394126e-07,4.50519109353603e-07,4.49104202145928e-07,4.48898142170907e-07,4.48864785317272e-07,4.48857450233139e-07,4.48858054997455e-07,4.48858602644117e-07,4.48858691507273e-07,4.48858669313021e-07,4.48858640750016e-07,4.48858633523068e-07,4.48858633523075e-07
4,0.05,0.0336132249995331,0.00626214389293912,0.00104258120339139,0.000168258739468497,2.70934514914175e-05,4.63742707066679e-06,1.10170017257228e-06,5.49832921451417e-07,4.64367214199763e-07,4.5122564765505e-07,4.49217905524937e-07,4.48913904199549e-07,4.48870174640337e-07,4.48857794026339e-07,4.48857831793383e-07,4.48858555066113e-07,4.48858709030583e-07,4.48858695848136e-07,4.48858666236243e-07,4.48858657226548e-07,4.48858657226555e-07
5,0.05,0.0355465653532875,0.0071744201537771,0.0012307891967151,0.0002036027137802,3.34640339907595e-05,5.75557795433796e-06,1.29396488021245e-06,5.82338202111326e-07,4.69784436865002e-07,4.52117319272914e-07,4.49363148379108e-07,4.48936867538777e-07,4.48876296886135e-07,4.4885737242532e-07,4.488571882262e-07,4.48858409759666e-07,4.48858702781257e-07,4.488587049595e-07,4.48858672040206e-07,4.48858659447362e-07,4.48858659447369e-07
6,0.05,0.0371157583313083,0.0082158604159654,0.00144771573491289,0.00024470647689475,4.0947130558113e-05,7.08386405448542e-06,1.5251571081094e-06,6.2192660406972e-07,4.76469405816965e-07,4.53232504951122e-07,4.49547261644529e-07,4.48966519125834e-07,4.48884112809683e-07,4.48857015069636e-07,4.48856229850992e-07,4.4885817171622e-07,4.48858684619976e-07,4.4885871361558e-07,4.48858673853676e-07,4.48858662366495e-07,4.48858662366502e-07
7,0.05,0.0384265109814112,0.00935152527262013,0.00168943588192569,0.000291257618948749,4.95454138560791e-05,8.63180288273184e-06,1.79837113600535e-06,6.69362269853674e-07,4.84589856737709e-07,4.54605619270745e-07,4.49777008726102e-07,4.49004067560907e-07,4.48893598636382e-07,4.48857053093198e-07,4.48855016097254e-07,4.48857830741396e-07,4.48858651278859e-07,4.48858718029431e-07,4.48858682266068e-07,4.48858661122245e-07,4.48858661122252e-07
8,0.05,0.0395731520331051,0.0105606134220772,0.00195362773258915,0.000343123210362371,5.92806744373692e-05,1.0410919160228e-05,2.11693611684356e-06,7.25446588323879e-07,4.94321598432821e-07,4.56273057800001e-07,4.50059566913361e-07,4.49051413535415e-07,4.48900240700527e-07,4.48860227857583e-07,4.48855021033147e-07,4.48857570600227e-07,4.48858583940056e-07,4.48858718649359e-07,4.48858684854516e-07,4.48858663050992e-07,4.48858663050999e-07
9,0.05,0.0406123855384051,0.0118321390611754,0.00223926837595293,0.000400353358257825,7.02013229254937e-05,1.24368670603439e-05,2.48487770543464e-06,7.91108192770802e-07,5.05865057402792e-07,4.58276140507198e-07,4.50403039300571e-07,4.49110744776215e-07,4.48902568319181e-07,4.48866406753984e-07,4.48857275169516e-07,4.48857801871753e-07,4.48858542723778e-07,4.48858699624757e-07,4.48858682835887e-07,4.48858664462643e-07,4.4885866446265e-07
10,0.05,0.0415786916865065,0.0131602283860039,0.00254597849924565,0.000463089685518421,8.23697260982067e-05,1.47276998413157e-05,2.90668640786526e-06,8.67372964002968e-07,5.19441620194647e-07,4.60660645877824e-07,4.50816861209325e-07,4.49181945854086e-07,4.4891377721466e-07,4.48869920310424e-07,4.48857313351915e-07,4.48857564888316e-07,4.48858480361352e-07,4.48858714903236e-07,4.48858668630363e-07,4.48858660884114e-07,4.48858660884121e-07
