Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.00102799155919946,4.81509883407045e-06,3.32472227799662e-08,1.25507423389699e-08,1.24237811523215e-08,1.24157687821854e-08,1.24161962016083e-08,1.24162691832462e-08,1.24163526967884e-08,1.24164494163083e-08,1.24165553982005e-08,1.24166694597715e-08,1.24167908341763e-08,1.24169187852643e-08,1.2417052650995e-08,1.241719175213e-08,1.24173354578795e-08,1.24174831681891e-08,1.24176343239311e-08,1.24177891789045e-08,2.15930078613055e-07
2,0.05,0.0011494373341362,5.71944306524226e-06,3.83355963565254e-08,1.25893860014925e-08,1.24261697523453e-08,1.24158257412793e-08,1.24162002720617e-08,1.2416272216586e-08,1.24163537709235e-08,1.24164500540634e-08,1.24165559138751e-08,1.24166699117618e-08,1.24167912169012e-08,1.24169191069862e-08,1.24170529061562e-08,1.24171919473972e-08,1.24173355948374e-08,1.24174832442001e-08,1.24176343431724e-08,1.24177891705894e-08,2.15931037892648e-07
3,0.05,0.00128159020707468,6.73629323173911e-06,4.41617546729136e-08,1.26334945583173e-08,1.24286047503437e-08,1.24164955580345e-08,1.24162079586364e-08,1.24162739857151e-08,1.24163543220445e-08,1.24164502113564e-08,1.24165559936078e-08,1.2416669966472e-08,1.24167912553219e-08,1.24169191293199e-08,1.24170529116225e-08,1.24171919378721e-08,1.24173355708383e-08,1.24174832053983e-08,1.241763429038e-08,1.24177891388595e-08,2.15931073269969e-07
4,0.05,0.00142370545276118,7.88010697275846e-06,5.08362752642825e-08,1.2684672262107e-08,1.24316561619053e-08,1.24464803305153e-08,1.24164479191733e-08,1.24161718507281e-08,1.24163540183665e-08,1.24164506432697e-08,1.24165562010832e-08,1.24166701298271e-08,1.24167913892158e-08,1.24169192348129e-08,1.24170529894736e-08,1.2417191988332e-08,1.24173355937541e-08,1.24174832007594e-08,1.24176342581874e-08,1.24177891143587e-08,2.15931073090065e-07
5,0.05,0.0015721289049479,9.15492500520943e-06,5.84377345632987e-08,1.27442230141449e-08,1.24353626114966e-08,1.24527499489721e-08,1.24163750336383e-08,1.24163037009215e-08,1.24163414844473e-08,1.24164454620281e-08,1.24165565111036e-08,1.24166704149437e-08,1.2416791622769e-08,1.24169194252928e-08,1.24170531383336e-08,1.24171920962298e-08,1.24173356609599e-08,1.24174832282287e-08,1.2417634245386e-08,1.24177890964155e-08,2.15931073079441e-07
6,0.05,0.00172530651809967,1.05660791156173e-05,6.70478473640774e-08,1.2812957224504e-08,1.24396180657852e-08,1.24195475612848e-08,1.24163261451655e-08,1.24162759447724e-08,1.24163568520915e-08,1.24164514033518e-08,1.24165568316885e-08,1.24166706463423e-08,1.24167918204872e-08,1.24169195849546e-08,1.24170532610937e-08,1.24171921826012e-08,1.24173357115102e-08,1.24174832427987e-08,1.24176342244902e-08,1.24177890756139e-08,2.15931073038088e-07
7,0.05,0.00188477523801058,1.21283235079669e-05,7.67857924146511e-08,1.28914852116141e-08,1.24446022669963e-08,1.24204799194502e-08,1.24163275755233e-08,1.24162786760933e-08,1.24163579932505e-08,1.24164517528623e-08,1.24165570322184e-08,1.24166707952852e-08,1.24167919391308e-08,1.24169196760386e-08,1.24170533260566e-08,1.24171922218907e-08,1.24173357254902e-08,1.24174832316351e-08,1.24176341883709e-08,1.24177890496997e-08,2.15931073005631e-07
8,0.05,0.00205248717117066,1.38608080290752e-05,8.77982030693647e-08,1.29806512868174e-08,1.24502573738225e-08,1.24214743659711e-08,1.24163252221226e-08,1.2416281294588e-08,1.24163593014326e-08,1.24164520908803e-08,1.24165571677301e-08,1.24166708809279e-08,1.24167920005412e-08,1.24169197182425e-08,1.24170533494989e-08,1.24171922272784e-08,1.24173357130006e-08,1.24174832017139e-08,1.24176341408027e-08,1.24177890200452e-08,2.1593107297691e-07
9,0.05,0.00223006636053434,1.57842434387817e-05,1.00250381615236e-07,1.30815224218165e-08,1.24566142070167e-08,1.24226079855794e-08,1.24163191649634e-08,1.2416283644064e-08,1.24163607440456e-08,1.24164524236546e-08,1.2416557266954e-08,1.24166709285813e-08,1.24167920263842e-08,1.24169197306149e-08,1.24170533473413e-08,1.24171922115019e-08,1.2417335684199e-08,1.24174831599778e-08,1.24176340863017e-08,1.24177889880008e-08,2.15931072925518e-07
10,0.05,0.00241892415819487,1.79210238253172e-05,1.14327827044587e-07,1.31953546357326e-08,1.24637137253744e-08,1.24238923387723e-08,1.24163089120807e-08,1.24162855714541e-08,1.24163623523034e-08,1.24164527756758e-08,1.24165573479644e-08,1.24166709532482e-08,1.2416792031851e-08,1.24169197238018e-08,1.24170533296981e-08,1.24171921830941e-08,1.24173356452965e-08,1.24174831110798e-08,1.24176340273538e-08,1.24177889544867e-08,2.15931072890221e-07
11,0.05,0.00262037111512175,2.02955627947279e-05,1.30239432052382e-07,1.33235973044019e-08,1.24716039224751e-08,1.24253358902788e-08,1.2416294125913e-08,1.24162869024775e-08,1.24163641433921e-08,1.24164531614008e-08,1.24165574196942e-08,1.2416670962134e-08,1.24167920219939e-08,1.24169197036526e-08,1.24170532998578e-08,1.24171921448546e-08,1.24173355990887e-08,1.24174830569796e-08,1.24176339653318e-08,1.24177889199366e-08,2.15931072858452e-07
12,0.05,0.0028357399872625,2.29350003143301e-05,1.48221427793921e-07,1.34679001241909e-08,1.24803380961175e-08,1.24269377210545e-08,1.24170357997454e-08,1.24162947602113e-08,1.24163651364737e-08,1.24164535772414e-08,1.241655749169e-08,1.24166709617396e-08,1.24167920024384e-08,1.24169196747207e-08,1.24170532629288e-08,1.24171921007182e-08,1.24173355481157e-08,1.2417482999462e-08,1.24176339012467e-08,1.24177888846844e-08,2.15931072823836e-07
13,0.05,0.0030663755128764,2.58690853118074e-05,1.68541160576862e-07,1.36301657974989e-08,1.24899781130428e-08,1.24286725801482e-08,1.24185768627992e-08,1.24163104323833e-08,1.24163651884725e-08,1.24164540305321e-08,1.24165575707234e-08,1.24166709567593e-08,1.24167919770529e-08,1.24169196404531e-08,1.24170532213221e-08,1.24171920527054e-08,1.24173354942006e-08,1.24174829398394e-08,1.24176338358881e-08,1.2417788848999e-08,2.15931072787744e-07
14,0.05,0.00331368233324451,2.91302427746969e-05,1.91502304690304e-07,1.38126067233494e-08,1.25005980630886e-08,1.24304461034247e-08,1.24186333646999e-08,1.24163121754125e-08,1.24163672899574e-08,1.24164545832017e-08,1.24165576573261e-08,1.24166709494815e-08,1.24167919476414e-08,1.24169196023599e-08,1.24170531764027e-08,1.24171920019645e-08,1.24173354381325e-08,1.24174828786952e-08,1.24176337696148e-08,1.24177888129976e-08,2.15931072751516e-07
15,0.05,0.00357913772269687,3.27531728474338e-05,2.17452460335762e-07,1.40178662187871e-08,1.25122944293874e-08,1.24320147362802e-08,1.24189754486161e-08,1.24163167966772e-08,1.24163691901776e-08,1.24164552072883e-08,1.24165577598949e-08,1.24166709437713e-08,1.24167919172843e-08,1.2416919563016e-08,1.24170531303728e-08,1.24171919502716e-08,1.24173353813424e-08,1.24174828170257e-08,1.24176337030214e-08,1.24177887768807e-08,2.15931072715274e-07
16,0.05,0.00386428283350456,3.67730076912795e-05,2.46780579833546e-07,1.4249047229329e-08,1.2525193254638e-08,1.24329021656088e-08,1.24194350661071e-08,1.24163237735693e-08,1.24163711167782e-08,1.24164559185399e-08,1.24165578854562e-08,1.24166709446395e-08,1.24167918901727e-08,1.24169195254026e-08,1.2417053086309e-08,1.2417191900187e-08,1.24173353259752e-08,1.24174827561639e-08,1.24176336369015e-08,1.24177887409197e-08,2.15931072679207e-07
17,0.05,0.00417074386817682,4.12237025874625e-05,2.79920951091591e-07,1.45097975213392e-08,1.2539459247038e-08,1.24319854494282e-08,1.2419859199738e-08,1.24163341482305e-08,1.24163732822042e-08,1.24164567318651e-08,1.24165580423632e-08,1.24166709581375e-08,1.24167918713174e-08,1.24169194936152e-08,1.24170530477926e-08,1.24171918548236e-08,1.24173352735909e-08,1.24174826977743e-08,1.24176335723126e-08,1.24177887054441e-08,2.1593107264352e-07
18,0.05,0.00450024797612332,4.6135222847641e-05,3.1736798203435e-07,1.48045480719904e-08,1.25553210932484e-08,1.24257572032854e-08,1.24202789347181e-08,1.24163535389222e-08,1.24163756866813e-08,1.24164576515489e-08,1.24165582364436e-08,1.24166709876162e-08,1.24167918630875e-08,1.24169194712271e-08,1.24170530167551e-08,1.2417191815068e-08,1.24173352258961e-08,1.24174826426952e-08,1.24176335096259e-08,1.2417788670616e-08,2.15931072608597e-07
