Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.05,0.00102339954832227,4.79021825335449e-06,3.29708374803586e-08,1.25252641506187e-08,1.24201399903443e-08,1.24161737919108e-08,1.24162320859091e-08,1.24162639429178e-08,1.2416344693874e-08,1.2416441752687e-08,1.24165485532347e-08,1.24166635143112e-08,1.24167859068631e-08,1.24169148653107e-08,1.24170497952418e-08,1.24171899934512e-08,1.24173348320951e-08,1.24174837194877e-08,1.24176361403833e-08,1.24177926985758e-08,4.75805668267333e-07
2,0.05,0.00114392428809071,5.68777587028494e-06,3.79881263375132e-08,1.25569390359412e-08,1.24215251721748e-08,1.24162480868608e-08,1.2416265441807e-08,1.24162724105845e-08,1.2416348627357e-08,1.24164449552198e-08,1.24165516097175e-08,1.2416666560223e-08,1.24167888738618e-08,1.24169178252464e-08,1.24170527241551e-08,1.24171928950801e-08,1.24173377063831e-08,1.24174865667254e-08,1.24176389610435e-08,1.24177955311156e-08,4.75815030246867e-07
3,0.05,0.00127489219076041,6.69609846470032e-06,4.37314787755522e-08,1.25935093944633e-08,1.24228183404535e-08,1.24165296664826e-08,1.24162991062839e-08,1.24162780046017e-08,1.24163496306674e-08,1.24164451899892e-08,1.24165517078091e-08,1.24166666202578e-08,1.24167889187561e-08,1.24169178527186e-08,1.24170527346774e-08,1.24171928897145e-08,1.24173376854451e-08,1.24174865304597e-08,1.24176389094192e-08,1.24177954998831e-08,4.75814999490453e-07
4,0.05,0.00141547892444964,7.82927687823569e-06,5.0306383129743e-08,1.26359804388195e-08,1.24241928206943e-08,1.24169981036648e-08,1.24163413237199e-08,1.24162847995867e-08,1.24163510030972e-08,1.2416445601457e-08,1.2416551937287e-08,1.24166667949232e-08,1.24167890610526e-08,1.24169179653183e-08,1.24170528173277e-08,1.2417192944389e-08,1.24173377119164e-08,1.24174865275131e-08,1.24176388782587e-08,1.24177954754514e-08,4.75814999218064e-07
5,0.05,0.00156206154505106,9.09091013030803e-06,5.77864066444313e-08,1.26852379738607e-08,1.24259873084523e-08,1.24173949201108e-08,1.24163909089034e-08,1.24162934226159e-08,1.24163527977044e-08,1.24164461948517e-08,1.24165522959239e-08,1.24166670789445e-08,1.24167892982296e-08,1.24169181569399e-08,1.24170529683488e-08,1.24171930531614e-08,1.24173377790998e-08,1.24174865536891e-08,1.2417638861724e-08,1.2417795464492e-08,4.75814998730231e-07
6,0.05,0.00171332400282229,1.04865985061872e-05,6.62527451977958e-08,1.27419561685369e-08,1.24281770746911e-08,1.24177820281729e-08,1.24164493588662e-08,1.24163038563783e-08,1.24163548532622e-08,1.24164467853379e-08,1.24165526103221e-08,1.24166673164862e-08,1.24167894933554e-08,1.24169183129713e-08,1.24170530884676e-08,1.24171931361706e-08,1.24173378279212e-08,1.24174865694768e-08,1.24176388431256e-08,1.24177954361935e-08,4.75815017739562e-07
7,0.05,0.00187086309295536,1.2031133604104e-05,7.58246474854156e-08,1.28068225509224e-08,1.24307207606067e-08,1.24182081152701e-08,1.24165177352788e-08,1.24163161800757e-08,1.24163571560638e-08,1.24164473302515e-08,1.24165528355149e-08,1.24166674658509e-08,1.24167896075672e-08,1.24169184026241e-08,1.24170531491905e-08,1.24171931753471e-08,1.24173378399685e-08,1.24174865541147e-08,1.24176388149963e-08,1.24177954010286e-08,4.7581501109381e-07
8,0.05,0.00203658344030605,1.37433006044222e-05,8.6646752238619e-08,1.2880709294564e-08,1.24336156008911e-08,1.24186903008879e-08,1.2416596917037e-08,1.24163306211739e-08,1.2416359789347e-08,1.24164478735087e-08,1.24165530042111e-08,1.24166675552186e-08,1.24167896694131e-08,1.24169184412843e-08,1.24170531719693e-08,1.2417193177267e-08,1.24173378262541e-08,1.24174865250618e-08,1.24176387540006e-08,1.24177953821989e-08,4.7581500532544e-07
9,0.05,0.00221205427708303,1.56432881800478e-05,9.88812947008535e-08,1.29646549163134e-08,1.24368764083406e-08,1.24192371472417e-08,1.24166878083524e-08,1.24163474423576e-08,1.24163628362778e-08,1.24164484542451e-08,1.24165531443679e-08,1.24166676080656e-08,1.24167896930811e-08,1.24169184525859e-08,1.24170531684709e-08,1.24171931613129e-08,1.2417337795666e-08,1.24174864817078e-08,1.24176387026738e-08,1.24177953458968e-08,4.75815002879083e-07
10,0.05,0.00239865973723113,1.77530200378108e-05,1.1271001329675e-07,1.30598519801344e-08,1.2440525213131e-08,1.24198551859433e-08,1.24167913388449e-08,1.24163669226659e-08,1.2416366376233e-08,1.2416449104334e-08,1.24165532765594e-08,1.24166676406226e-08,1.24167896988009e-08,1.24169184457364e-08,1.24170531493628e-08,1.24171931314453e-08,1.24173377600926e-08,1.24174864401578e-08,1.24176386305917e-08,1.24177953124604e-08,4.75815003399905e-07
