Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
0,0.9,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
1,0.9,0.972235035243238,0.995779886773954,0.999354854382475,0.999829312448064,0.999835696182563,0.999813493066197,0.999803689479877,0.999800566152432,0.999799738441348,0.999799547033466,0.999799507516477,0.99979950012131,0.9997994988627,0.999799498658368,0.999799498625178,0.999799498622649,0.999799498623606,0.999799498623806,0.999799498623667,0.999799498623446,0.99979903523557
2,0.9,0.969815038322665,0.995163573022117,0.999254813901462,0.999885659187018,0.999976031073587,0.999977314479885,0.999953515213137,0.999900568212466,0.999847442816759,0.999819365131263,0.999806996912169,0.999802099354473,0.999800335004557,0.999799749970583,0.999799569743227,0.999799517755867,0.999799503620547,0.99979949997484,0.999799499079442,0.999799498852433,0.999799035455198
3,0.9,0.967358448024243,0.994497830294433,0.999116672921178,0.999861612780471,0.999978119617418,0.999995692180852,0.999997201155194,0.999993649553105,0.999984931502668,0.999970321089803,0.999940286635782,0.999887719077483,0.999844454676155,0.999820389748929,0.999808557404481,0.999803184567896,0.999800914684316,0.999800013601189,0.999799681134625,0.999799548477335,0.999799085080131
4,0.9,0.964971296076017,0.993730026830183,0.998957368471899,0.999831728375968,0.999972892549401,0.999995339706213,0.999998845062509,0.999999264964878,0.99999889259731,0.999997989552718,0.999995520773257,0.999988983438884,0.999978148281094,0.999960958911714,0.999926622929176,0.999878721367877,0.999841524248195,0.999820166932969,0.999809645682862,0.999803071195056,0.999802607797853
5,0.9,0.962891373101661,0.992816488936093,0.998769153016878,0.999796384600982,0.999966523540022,0.999994231568207,0.999998693386384,0.999999402324801,0.99999949585359,0.999999492210011,0.999999398084916,0.999998962671787,0.99999812572983,0.999996678415359,0.999992553831356,0.999984126119982,0.999972040812633,0.999951724047587,0.999916712441521,0.999859797754054,0.99985933435685
6,0.9,0.961170917665869,0.991773652985528,0.998552218012342,0.999755280781149,0.999959040441265,0.999992903718164,0.999998462400997,0.999999364992519,0.999999511114239,0.999999534351048,0.999999534240066,0.999999486607676,0.999999472402464,0.999999455791612,0.999999142210608,0.999998369047562,0.999997253454104,0.999994813939069,0.999988626238852,0.999971584014069,0.999971120616847
7,0.9,0.959702625925633,0.990636443593776,0.998310488293427,0.999708729574229,0.999950442155423,0.999991355778909,0.999998189183126,0.9999993180611,0.999999502993786,0.999999532683715,0.999999534957869,0.999999538579265,0.999999538689612,0.99999946060687,0.999999353907669,0.999999511325806,0.999999538724011,0.999998757518758,0.999998179787657,0.999996591918929,0.999996128521714
8,0.9,0.958390264526589,0.989425643277318,0.998046285620659,0.999656863908928,0.999940706891947,0.999989576662149,0.999997870647286,0.999999262131695,0.999999493262042,0.999999531310494,0.99999953752388,0.999999530013579,0.99999953868297,0.999999538722854,0.999999538727926,0.99999939144537,0.999999538724078,0.999999538723795,0.999999538723676,0.999998903982855,0.999998440585645
9,0.9,0.957175560184512,0.988152217650645,0.997760632742752,0.999599633677087,0.999929786240198,0.999987550713702,0.999997502705607,0.99999919647546,0.99999948171858,0.999999529307411,0.999999537180408,0.999999538472588,0.999999538680642,0.999999538716675,0.999999538725672,0.999999538725005,0.999999443864481,0.999999538723814,0.999999508172671,0.99999953872354,0.999999075326333
10,0.9,0.956022648576262,0.986822018593958,0.997453908790741,0.99953689725463,0.999917617833377,0.999985259880304,0.999997080896801,0.999999120210669,0.999999468142013,0.999999526922905,0.999999536766586,0.999999538401386,0.999999538669433,0.999999538713161,0.999999453719815,0.999999538725242,0.999999538724182,0.999999538723799,0.999999457685019,0.999999538723544,0.999999075326336
11,0.9,0.954910275073106,0.985438513457562,0.997126112022014,0.999468448653231,0.999904127883365,0.999982683884659,0.999996600259983,0.999999032212932,0.99999945228782,0.999999524106068,0.999999536272221,0.999999538315502,0.999999538655304,0.999999538709,0.999999476488251,0.999999538725623,0.9999995387243,0.999999538723709,0.999999538723756,0.99999946829012,0.999999004892912
12,0.9,0.953823716180695,0.984003689168305,0.996776970568578,0.99939404227812,0.999889235397546,0.999979800836101,0.999996055437411,0.999998931254455,0.999999433888014,0.999999520800585,0.99999953568587,0.999999538212613,0.9999995386377,0.999999538704084,0.99999953872592,0.999999538726188,0.999999538724439,0.999999538723829,0.999999538723676,0.999999538723543,0.999999075326335
13,0.9,0.952753431614693,0.982519162701061,0.996405722548033,0.999313352841704,0.999872846236818,0.999976586489205,0.999995440602944,0.999998816006852,0.99999941265227,0.999999516945183,0.999999534994963,0.999999538090193,0.999999538616544,0.999999538698217,0.999999538726028,0.999999538726921,0.999999538724638,0.999999538723916,0.999999538723633,0.999999538723527,0.999999075326319
14,0.9,0.951693302868139,0.98098759105557,0.996010872871138,0.999225936316118,0.999854846361135,0.999973013016347,0.999994749230638,0.999998684996312,0.999999388259052,0.999999512471833,0.999999534185494,0.999999537945396,0.999999538591314,0.999999538691442,0.999999538725864,0.999999538727772,0.999999538724902,0.999999538723911,0.999999538723659,0.999999538723532,0.999999075326324
15,0.9,0.950639479025606,0.979413961595145,0.9955895684912,0.999131137609682,0.999835088544152,0.999969047102117,0.999993973815671,0.999998536561114,0.999999360348793,0.999999507304586,0.99999953324179,0.999999537775068,0.999999538561274,0.999999538684104,0.999999538725192,0.999999538728589,0.999999538725207,0.999999538723943,0.999999538723666,0.999999538723533,0.999999075326325
16,0.9,0.94959011838571,0.977808044766304,0.99513671592681,0.999027939948858,0.999813368136805,0.99996464615546,0.999993105286406,0.99999836875962,0.999999328509159,0.999999501357134,0.999999532146081,0.999999537575676,0.999999538525294,0.999999538679591,0.999999538722179,0.999999538728197,0.999999538725359,0.999999538723995,0.999999538723679,0.999999538723532,0.999999075326324
17,0.9,0.948544695966787,0.976185439886236,0.99464497632957,0.998914946467154,0.999789418183954,0.99995975735966,0.999992132846614,0.999998179347743,0.999999292272495,0.999999494532664,0.999999530878546,0.99999953734327,0.999999538482262,0.999999538678855,0.999999538716565,0.999999538726165,0.999999538725191,0.999999538724044,0.999999538723696,0.999999538723533,0.999999075326325
18,0.9,0.947504085801435,0.974569701872413,0.994104633941168,0.998790302431121,0.99976289029866,0.999954313780933,0.999991043228354,0.999997965638073,0.999999251089271,0.999999486718804,0.999999529416368,0.999999537073115,0.999999538432503,0.999999538671652,0.999999538713625,0.999999538725613,0.999999538725238,0.999999538724097,0.9999995387237,0.999999538723532,0.999999075326324
19,0.9,0.946469580472327,0.972985148056038,0.993507034407462,0.99865215181012,0.999733411950174,0.999948241241574,0.999989821472255,0.999997724580657,0.999999204334905,0.999999477787867,0.999999527733619,0.999999536759914,0.999999538375235,0.999999538660197,0.999999538710862,0.999999538726113,0.999999538725695,0.999999538724195,0.999999538723708,0.999999538723529,0.999999075326321
