Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
0,0.15,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.15,0.00541253590953634,5.08621733584091e-05,4.44867371675514e-07,1.71314065142157e-08,1.37988187461995e-08,1.37175590499844e-08,1.3644177442316e-08,1.35384290485637e-08,1.33595858863037e-08,1.30690647374187e-08,1.27629246240746e-08,1.26274501211733e-08,1.25790851745963e-08,1.25631084659034e-08,1.2558527891571e-08,1.25579109500084e-08,1.25586803592542e-08,1.25599395744449e-08,1.25613825913872e-08,1.25629058057518e-08,1.2564473078041e-08,1.25660702798931e-08,1.2567690526571e-08,1.25693295282505e-08,1.25709841341328e-08,1.25726518458413e-08,1.25743306238104e-08,1.25760187878461e-08,1.25777149503762e-08,1.2579417960919e-08,1.25811268569467e-08,1.25828408268009e-08,1.25845591867611e-08,1.2586281368396e-08,1.25880069035344e-08,1.2589735398724e-08,1.2591466532767e-08,1.25932000615241e-08,1.25949355542266e-08,1.25966781099802e-08,0
2,0.15,0.00802393495153689,8.71804845135962e-05,8.6453344316929e-07,2.20073677163274e-08,1.44454517908522e-08,1.43375190347804e-08,1.42802427863756e-08,1.42117418007628e-08,1.41253481505147e-08,1.40139701535516e-08,1.38634398105216e-08,1.36352107587636e-08,1.32732373390887e-08,1.28529814911277e-08,1.2660828076943e-08,1.26029077831582e-08,1.25859908608319e-08,1.25813368884132e-08,1.25803498528098e-08,1.25805276161482e-08,1.25810949060604e-08,1.25818028767975e-08,1.25825686296171e-08,1.25833631528803e-08,1.25841753481829e-08,1.2585000236775e-08,1.2585835053721e-08,1.25866779439187e-08,1.25875275129717e-08,1.25883826536003e-08,1.25892424611504e-08,1.25901061862573e-08,1.25909732089247e-08,1.2591843025111e-08,1.25927152314636e-08,1.25935894996692e-08,1.25944655739616e-08,1.25953432757667e-08,1.25962222436715e-08,1.25971057630102e-08,0
3,0.15,0.0114620076725101,0.000139451670083926,1.52112431268754e-06,2.9912233608092e-08,1.49991997691243e-08,1.48248709952967e-08,1.47785482304667e-08,1.47236725538118e-08,1.465430392491e-08,1.45648507934633e-08,1.44482780588885e-08,1.4296328556761e-08,1.41009259528406e-08,1.3844947436535e-08,1.34794575959257e-08,1.30028153744782e-08,1.27029002679631e-08,1.26145800380887e-08,1.25908612798978e-08,1.25849705448143e-08,1.25837994914319e-08,1.25839405700586e-08,1.25844663351986e-08,1.25851154754253e-08,1.25858106069369e-08,1.25865270870028e-08,1.25872561249608e-08,1.25879939814769e-08,1.25887386704231e-08,1.25894889019908e-08,1.25902437187676e-08,1.25910023594199e-08,1.25917642047339e-08,1.25925287553607e-08,1.25932956137343e-08,1.25940644576614e-08,1.25948350376251e-08,1.25956071813449e-08,1.2596380534113e-08,1.25971583018251e-08,0
4,0.15,0.0158883422149177,0.000212949880150569,2.50577598604298e-06,4.23679352411764e-08,1.55199771154441e-08,1.52184008380284e-08,1.51804209445106e-08,1.51370652910586e-08,1.50820568567923e-08,1.50107731021022e-08,1.49170131760635e-08,1.47945684710407e-08,1.46377838913988e-08,1.4444961439279e-08,1.42169358846778e-08,1.39471164880946e-08,1.35941148321822e-08,1.31209201641069e-08,1.27446083446559e-08,1.26259090235051e-08,1.25944712647215e-08,1.25869193283738e-08,1.2585456769981e-08,1.25855761702252e-08,1.25861185914065e-08,1.25867814528147e-08,1.25874835798177e-08,1.25882019395393e-08,1.2588929248944e-08,1.25896627161038e-08,1.25904009444405e-08,1.25911430412529e-08,1.25918883477011e-08,1.25926363527133e-08,1.25933866557122e-08,1.25941389341987e-08,1.25948929391063e-08,1.25956484988516e-08,1.25964052596693e-08,1.25971664707854e-08,0
5,0.15,0.0214568931140973,0.000314292382021458,3.93427918051162e-06,6.13202535760358e-08,1.60554690172286e-08,1.55360347202826e-08,1.55034780421064e-08,1.54697458288272e-08,1.54267222778322e-08,1.53705660835885e-08,1.52962848901748e-08,1.51981843124206e-08,1.50722827682136e-08,1.49164359286711e-08,1.47320240213803e-08,1.45213373497502e-08,1.42853009559106e-08,1.40180014166401e-08,1.36844211661501e-08,1.32318364253164e-08,1.27980438337029e-08,1.26408337967436e-08,1.25992125795396e-08,1.258909126414e-08,1.25870620090578e-08,1.2587070404232e-08,1.25876027322887e-08,1.25882740685752e-08,1.25889857324959e-08,1.25897116852498e-08,1.25904445449459e-08,1.25911818513486e-08,1.25919225260356e-08,1.25926659427624e-08,1.25934116684779e-08,1.25941593713175e-08,1.25949087995805e-08,1.2595659780998e-08,1.25964119617841e-08,1.25971686490042e-08,0
6,0.15,0.0282991312692172,0.000451862703949811,5.95491411777027e-06,8.92800515181362e-08,1.6659458154955e-08,1.57919025028642e-08,1.57616017864476e-08,1.57357467064838e-08,1.5702624383126e-08,1.56589786062424e-08,1.56007450368647e-08,1.5523317613849e-08,1.54227751923368e-08,1.52980407025395e-08,1.51494671366488e-08,1.49789360561947e-08,1.47875928173878e-08,1.45754613864763e-08,1.43414148048761e-08,1.40802555796152e-08,1.376460822507e-08,1.33365016372103e-08,1.286596619483e-08,1.26602893405034e-08,1.26052326781109e-08,1.25916282096624e-08,1.25887745229622e-08,1.25885924023041e-08,1.25890879012886e-08,1.25897574890762e-08,1.25904741190898e-08,1.25912053218723e-08,1.25919424656043e-08,1.25926830113597e-08,1.25934260374421e-08,1.25941710855558e-08,1.25949178706688e-08,1.25956662115015e-08,1.25964157520085e-08,1.25971698583252e-08,0
7,0.15,0.036508761043964,0.000636289293050634,8.75817679738399e-06,1.29489964017144e-07,1.73963357610289e-08,1.59982847395198e-08,1.59664818334211e-08,1.5946962311925e-08,1.59219669911145e-08,1.58885789531186e-08,1.58435284069225e-08,1.57830241620222e-08,1.57038565618552e-08,1.56045020758349e-08,1.54859244671127e-08,1.53490174812759e-08,1.5194750397429e-08,1.50230946683321e-08,1.48332739511447e-08,1.46240745262341e-08,1.43938587398372e-08,1.41385739807768e-08,1.38377582745799e-08,1.34344311843816e-08,1.29466764928592e-08,1.26849132253207e-08,1.26126842839822e-08,1.25945589530816e-08,1.25906012569011e-08,1.25901515452698e-08,1.2590586719366e-08,1.25912460124066e-08,1.25919636081835e-08,1.25926977055435e-08,1.25934375674724e-08,1.2594180277314e-08,1.25949249325649e-08,1.2595671196067e-08,1.25964186726251e-08,1.25971707776017e-08,0
8,0.15,0.0461197212359709,0.000880706345107763,1.25854905677493e-05,1.86095557457784e-07,1.8344565744429e-08,1.61659275024881e-08,1.61279949803147e-08,1.6113428522148e-08,1.60950952022165e-08,1.60700608846419e-08,1.60357649659161e-08,1.59890936229775e-08,1.59273448616362e-08,1.58492368733511e-08,1.57550475989269e-08,1.56460431765677e-08,1.55226800038424e-08,1.53848532265226e-08,1.52319023735868e-08,1.50627405281477e-08,1.48760549278924e-08,1.467039597562e-08,1.44441179229222e-08,1.41940620813718e-08,1.39052480341245e-08,1.35257663161764e-08,1.30373861061331e-08,1.27153118600998e-08,1.26218636395449e-08,1.25979511512435e-08,1.2592551174054e-08,1.25917466825652e-08,1.259209733269e-08,1.25927386361258e-08,1.25934540958284e-08,1.25941894667997e-08,1.25949310431488e-08,1.25956752919412e-08,1.25964210205012e-08,1.25971715029979e-08,0
9,0.15,0.0571042245319208,0.00120064836767063,1.77354974317031e-05,2.64309213337546e-07,1.96003034623631e-08,1.63043050337876e-08,1.62544096784935e-08,1.62435032960998e-08,1.62306675455971e-08,1.62124009457822e-08,1.61868284865807e-08,1.61513997070893e-08,1.61038358562331e-08,1.60429802601366e-08,1.59690372650895e-08,1.58828202154612e-08,1.57847668792808e-08,1.56750307940683e-08,1.55527398750909e-08,1.54170076910946e-08,1.52666979102755e-08,1.51005256068626e-08,1.49171081882268e-08,1.47149777066033e-08,1.44925365889058e-08,1.42472201943056e-08,1.39681472090873e-08,1.36107421548539e-08,1.31344522818442e-08,1.27530260171205e-08,1.26331441509093e-08,1.26019040754533e-08,1.25946460458606e-08,1.25933811031381e-08,1.25936193271436e-08,1.2594234726107e-08,1.25949453924111e-08,1.25956809266643e-08,1.25964234764413e-08,1.25971722020464e-08,0
