Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
0,0,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
1,0,0,0,0,3.12414495217773e-06,6.25011781750916e-05,0.000744373153838461,0.00626155438186683,0.0372780823920245,0.152021172428544,0.42307174009509,0.760510789237306,0.914644194611216,0.970339854142023,0.989814891925468,0.996492944302656,0.998730801492127,0.999457684218134,0.999684984170146,0.999753123211569,0.999772664246266,0.99977802247061,0.999779428268829,0.999779782082557,0.99977986824212,0.99977988921589,0.999779894969541,0.999779897330989,0.999779898960437,0.999779900411292,0.999779901822365,0.999779903228081,0.999779904632661,0.99977990603526,0.999779907435605,0.999779908833928,0.999779910230918,0.999779911625436,0.999779913026247,0.99977991438999,0.999779916179592,0.999779928776271
2,0,7.59053794109343e-05,0,0,0,0,0,1.73834771563254e-07,4.32202494806696e-06,7.99620583972886e-05,0.0011482270479787,0.011976494864771,0.0813177031549441,0.320088658432577,0.717489061042869,0.915044219564038,0.974569199971762,0.992104138601285,0.997380426428915,0.999019484384489,0.999541615891514,0.999709986525986,0.999764221011027,0.999781481303201,0.999786865914345,0.999788504483108,0.999788990136025,0.999789131006569,0.999789171931009,0.999789184802203,0.999789190078308,0.999789193381682,0.999789196147341,0.999789198764632,0.999789201351904,0.99978920393772,0.999789206525341,0.99978920911269,0.999789211706588,0.999789214260894,0.99978921746487,0.999789230061976
3,0,0.0001336150947292,0,0,0,0,0,0,0,9.33197952246445e-09,6.86080173398843e-07,1.57265477356199e-05,0.000283589532634872,0.00387228037137556,0.0361286083536302,0.196139065383852,0.580350705880875,0.877760071683483,0.966823463854282,0.990912872474005,0.997339089113936,0.999090137459298,0.999583375138552,0.999727378628353,0.999770785254997,0.999784178322105,0.999788364012585,0.99978967621451,0.999790086078604,0.999790213775488,0.999790254233798,0.999790268141201,0.999790274181815,0.999790277976251,0.999790281104498,0.999790284029778,0.999790286904624,0.999790289772042,0.999790292646146,0.999790295485245,0.999790299024676,0.999790311621834
4,0,0.000205297993977283,0,0,0,0,0,0,0,0,0,0,2.65204142052025e-07,6.73933789151858e-06,0.000130874133730389,0.00197204634369438,0.021035193785098,0.136011675087571,0.47301553000701,0.836863625968373,0.956528690033246,0.988649009740512,0.996915483838932,0.99903705828049,0.999588420852491,0.999734716608032,0.999774579483755,0.999785771972631,0.99978901042591,0.999789973388503,0.99979026666372,0.99979035829351,0.999790388423419,0.99979039966252,0.999790405092377,0.999790408767735,0.999790411905482,0.999790414877537,0.999790417812037,0.999790420702954,0.999790424335231,0.999790436932397
5,0,0.000304737829118884,0,0,0,0,0,0,0,0,0,0,7.62830976932875e-08,1.2579894770326e-07,2.46929878824387e-07,3.44370208609031e-06,6.86258575883123e-05,0.00110376466575531,0.0129125320841727,0.0952821294565889,0.37898883015592,0.783988026890995,0.942523454304639,0.985181997011744,0.996098892378854,0.998855375621398,0.9995516259619,0.999728643385598,0.999774150675443,0.999786035065614,0.999789203552451,0.999790070365533,0.999790315282106,0.999790387861631,0.999790411266244,0.999790420367985,0.999790425207549,0.999790428715587,0.999790431796796,0.999790434719676,0.999790438403138,0.999790451000307
6,0,0.000441257113812488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2568652210157e-08,1.7359678705031e-06,3.71013052976172e-05,0.000631248938470265,0.00798180259980573,0.0659512652671527,0.298869931648373,0.717131168141215,0.924117354072057,0.980503722457643,0.994943360823001,0.998575145283713,0.999485207499079,0.999713443563225,0.999770872438782,0.999785404545217,0.999789114142434,0.999790073984729,0.999790327963398,0.999790398143742,0.999790419562369,0.999790427759984,0.999790432318658,0.999790435684022,0.999790439555044,0.999790452152214
7,0,0.000628888969503194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83324493683932e-08,9.05250682243759e-07,2.03057863489776e-05,0.000363431503115803,0.00492430931761017,0.0449815516873477,0.232059821628649,0.639257877629704,0.900703314673098,0.974404717967327,0.993418652593911,0.998197909042521,0.999392568571922,0.999690932021714,0.999765491921423,0.999784153596475,0.999788837996539,0.999790020366397,0.999790322432783,0.999790402032129,0.99979042502153,0.999790433042495,0.999790438758997,0.999790451356168
8,0,0.000892348254597941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70406988081895e-07,1.1190560832924e-05,0.000209847788654092,0.00302678710706134,0.030261127365109,0.177085027085544,0.554459862751447,0.871730719833452,0.966597733379783,0.991445885890539,0.997706998249843,0.99927092364778,0.999660902105682,0.999758124379397,0.999782365990249,0.999788413753393,0.999789925051348,0.999790305070653,0.999790401987227,0.99979043096732,0.999790443564491
9,0,0.00128406562843308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44551146328826e-07,6.19606988179708e-06,0.000121337679331831,0.00185320281413002,0.0201123806973358,0.132595452203105,0.46765199934699,0.835551328769142,0.956709191071679,0.988918100809791,0.997075099551815,0.999113903488968,0.999621973954634,0.999748503009855,0.999780002806727,0.999787841854554,0.999789789307762,0.999790292739879,0.999790305337051
