Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
0,0.85,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.85,1,1,1,0.999996857997755,0.999937474201013,0.999255487604348,0.993737344452562,0.962715177137777,0.847950479158383,0.576847589068947,0.239339627440683,0.085173332438583,0.0294659359320933,0.00998692912807501,0.00330758546325715,0.00106932262081377,0.0003423169591889,0.00011498109682292,4.68319443924334e-05,2.72881629640614e-05,2.19292151331293e-05,2.05232267369143e-05,2.01693616536557e-05,2.00831909965699e-05,2.00622167704645e-05,2.00564633424176e-05,2.00541007879871e-05,2.00524694566616e-05,2.00510165513329e-05,2.00496034566265e-05,2.0048195744624e-05,2.00467891719572e-05,2.00453845749953e-05,2.00439822282938e-05,2.00425818995343e-05,2.00411829017908e-05,2.00397863743481e-05,2.00383835460308e-05,2.00370178083458e-05,2.00352260920843e-05,2.00352260920843e-05
2,0.85,0.991900159669052,1,1,1,1,0.999999994551582,0.999999811845003,0.999995662949945,0.99992000888469,0.998851543093611,0.988021223148264,0.918666774433102,0.679849923522869,0.282371199453567,0.0847744794151672,0.0252364089605367,0.00769748195508527,0.00241999702624097,0.000780590243321747,0.000258362874645559,8.99683943059956e-05,3.57289458563209e-05,1.8467999022575e-05,1.30834674556308e-05,1.14449893641139e-05,1.09593865977382e-05,1.08185365781309e-05,1.07776207247275e-05,1.0764753565864e-05,1.07594788433356e-05,1.07561751401938e-05,1.07534083044783e-05,1.07507895772684e-05,1.07482008606443e-05,1.07456136330805e-05,1.07430246184171e-05,1.07404358783957e-05,1.07378405815921e-05,1.07352849034352e-05,1.07320793867925e-05,1.07320793867925e-05
3,0.85,0.988404377232761,1,1,1,1,1,1,1,0.999999976013717,0.999999299216218,0.999984255979764,0.999716341775278,0.996126961518541,0.963864420517848,0.803823038602142,0.419536714368426,0.122066919655132,0.0329843934432541,0.0088893753904859,0.00246151288972331,0.000709982230137855,0.000216609801447951,7.2573380756943e-05,2.91614530654548e-05,1.57688112847614e-05,1.15840557732449e-05,1.0272562825149e-05,9.86301534701138e-06,9.73548438012704e-06,9.69510806621049e-06,9.6812070670574e-06,9.67515710122896e-06,9.67136013142368e-06,9.66823126878326e-06,9.66530497687647e-06,9.66242878440023e-06,9.6595599670668e-06,9.65668448671531e-06,9.65384405994106e-06,9.65030312949813e-06,9.65030312949812e-06
4,0.85,0.983906359791105,1,1,1,1,1,1,1,1,1,0.999999993250961,0.999999719941264,0.999993244709976,0.999869086107993,0.99802755788045,0.978960717763284,0.863961923429785,0.526892584172153,0.162971849156653,0.0432816789352762,0.0111540453177374,0.0028854120556078,0.000763173577938772,0.00021160433810323,6.52476615282555e-05,2.53696331486801e-05,1.41749081658559e-05,1.09368859571689e-05,9.97475112191728e-06,9.68210638250429e-06,9.59076916958206e-06,9.5608083533863e-06,9.54966297448758e-06,9.54424528612755e-06,9.54055117524288e-06,9.53740357056288e-06,9.53442888224039e-06,9.5314933477399e-06,9.52860129934214e-06,9.52496752020555e-06,9.52496752020555e-06
5,0.85,0.978238369056784,1,1,1,1,1,1,1,1,1,1,0.999999908517977,0.99999985912877,0.999999738125461,0.999996540900686,0.999931346284239,0.998896006562492,0.987084943088649,0.904699312241746,0.620937345737355,0.215858098136184,0.0572900195190264,0.0146220550909283,0.00370238395323372,0.000945019921958527,0.000248470632579804,7.13500225225889e-05,2.58088862086048e-05,1.3914823740688e-05,1.07443883675442e-05,9.87766341772804e-06,9.63316001605171e-06,9.56100701210237e-06,9.53782972241224e-06,9.52888760821616e-06,9.52412708654257e-06,9.52062379498066e-06,9.5175198827906e-06,9.51458404945561e-06,9.51089629852401e-06,9.51089629852401e-06
6,0.85,0.97125961161697,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999998610688,0.999999932438416,0.999998248895351,0.999962876877839,0.999368613684309,0.992016626966111,0.934035853426148,0.701071698464239,0.28272819131699,0.0756999943694573,0.0193015172026131,0.00485835579449581,0.00122544709033177,0.000314983907151982,8.65944907193629e-05,2.9106626343866e-05,1.45529979509331e-05,1.0836391529567e-05,9.87474404962124e-06,9.62058662937237e-06,9.55060853321184e-06,9.5294134880704e-06,9.52139851320532e-06,9.51697001497622e-06,9.51365978463301e-06,9.50977698906059e-06,9.50977698906058e-06
7,0.85,0.962862349986533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999727243,0.99999996664183,0.999999079730412,0.999979675609349,0.999636483092245,0.995074714279585,0.955009640799735,0.767894764277205,0.360616778794457,0.0991188201386485,0.0254019442936853,0.00638356192061854,0.00160290382175348,0.000407734935415287,0.000109164020888526,3.45157433501531e-05,1.58170237651262e-05,1.11179879183599e-05,9.93038606069526e-06,9.62674929603637e-06,9.54685086830858e-06,9.52393247605356e-06,9.5160523715963e-06,9.51049757757068e-06,9.51049757757067e-06
8,0.85,0.952987930509431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999985001337,0.999999514617381,0.999988792566746,0.999790096683675,0.996972606199938,0.969732933140224,0.822880262224248,0.445431401194033,0.128097248972715,0.0332106485962552,0.0083568961296193,0.00209405587273481,0.000529505072124705,0.00013926299824852,4.19204310955421e-05,1.76234587607621e-05,1.15511075546253e-05,1.00295531921518e-05,9.64563477899219e-06,9.54739571571139e-06,9.51815993183732e-06,9.51815993183732e-06
9,0.85,0.941611709839646,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999993015154,0.999999740474918,0.999993787988907,0.999878624031568,0.99814641964485,0.979883661654179,0.867378523168496,0.532256233508039,0.164283876882209,0.0431012886531763,0.0108853385706713,0.00272621801689815,0.0006866609996323,0.000178269211221226,5.15866271465596e-05,2.00111988124776e-05,1.21356489204587e-05,1.01714705182997e-05,9.6601824850307e-06,9.6601824850307e-06
