Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32
0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1,25,29.0222502621439,25.9482046900193,25.8320535680468,25.7361449673193,25.6183962776569,25.4711299125483,25.2964458455171,25.131936059051,25.0435421422213,25.0138285394703,25.0045607009126,25.0017643278181,25.0009320238793,25.0006756297308,25.0005813750765,25.000530674245,25.000491086298,25.0004541762686,25.0004178639155,25.0003816635715,25.000345468582,25.0003092577616,25.0002730282444,25.0002367809116,25.0002005173758,25.0001642393885,25.0001279487266,25.0000916471762,25.0000553371132,25.0000186116772,25.0000186116772
2,25,32.7718602585738,26.8512071067654,26.6799797116107,26.6024221241462,26.5082275795785,26.387528908116,26.2259362524239,26.0012032526267,25.6928049075064,25.3402039620925,25.1030465409023,25.027661612942,25.0076855327003,25.002344777087,25.0008655957697,25.0004512838688,25.0003050467585,25.0002540450403,25.0002262313948,25.000204678504,25.0001848026061,25.0001653178643,25.0001459566685,25.0001266185542,25.000107283876,25.0000879482637,25.0000686108662,25.0000492716323,25.0000299315457,25.0000101576489,25.0000101576489
3,25,36.2643258371036,27.6210219032236,27.3546204716625,27.2906608706089,27.2153808060608,27.1191632082906,26.9905645747782,26.811175577753,26.5554920141167,26.1997493973832,25.7506211209105,25.3118446266091,25.0795752484375,25.0188035372266,25.004671457243,25.001351204436,25.0005163944418,25.0003519128183,25.0002224872111,25.0001909434663,25.0001693209003,25.0001621890505,25.0001326754678,25.0001192911882,25.0000971757929,25.0000796740205,25.0000622277654,25.0000446874149,25.0000271923497,25.0000092541249,25.0000092541249
4,25,39.5480201591056,28.2971346422535,27.8929115868573,27.8382617113743,27.7778859032833,27.7010348325602,27.5985822496881,27.4559474623679,27.2527873964038,26.9689865887376,26.5960212712926,26.1403659289131,25.6367280746292,25.2205127742179,25.0507327298384,25.0112065061677,25.0026242166894,25.0008031021527,25.0003246038093,25.0002127138346,25.0001725424785,25.0001593697799,25.0001308000369,25.0001174280075,25.0001088510447,25.0000798660787,25.0000628229274,25.0000439881817,25.0000267659165,25.0000091209441,25.0000091209441
5,25,42.6576201549981,28.9117994948717,28.3238950125954,28.274534355993,28.225884931358,28.1643644187727,28.0826127138985,27.9691001575899,27.8076447674833,27.5821265187469,27.2854783606341,26.9205714807256,26.4908919803728,26.000625595493,25.4963392151125,25.1442318518111,25.0315704435615,25.0068265037418,25.0015761395207,25.0004742961438,25.0002276197512,25.0001692846448,25.0001328309376,25.0001167755782,25.0001064891007,25.0000792917107,25.0001050781083,25.0000444130102,25.0000578507748,25.000009106052,25.000009106052
6,25,45.6168519260804,29.4919239285022,28.6705960208446,28.6225793585292,28.5831387269104,28.5337556997353,28.4683997334075,28.377968877794,28.249591110554,28.0703177158051,27.8343362716478,27.5439151935774,27.2016819794109,26.8061770239731,26.3529328164687,25.8469752951669,25.3641774183067,25.0912649638842,25.0195553932731,25.0041816563352,25.000987900966,25.0003241247778,25.0001648663145,25.0001226476803,25.0001059426796,25.0000791795291,25.0000982270478,25.0000443059383,25.0000530085192,25.0000094648428,25.0000094648428
7,25,48.4419054924542,30.0603975861699,28.9513620417913,28.9006486532263,28.868402982733,28.828638527946,28.776273965737,28.7041422364146,28.6020064857337,28.459435195793,28.271595417862,28.04026529228,27.7676844510494,27.452781414898,27.0913323544513,26.6772013874572,26.2048536809327,25.6907428620026,25.2505697674784,25.0571786928174,25.0120805304786,25.0025935935145,25.0006279058571,25.0002165178211,25.0001236377788,25.0000827798793,25.0000931664287,25.0000443659939,25.0000489636755,25.000009493383,25.000009493383
8,25,51.1431403039545,30.637085445541,29.1808868365868,29.1231938774593,29.0965369149293,29.0643837496287,29.0223166435942,28.9646955171934,28.8833829402145,28.7699482052408,28.6203266088436,28.4358894911452,28.2185596194784,27.9676018517542,27.6797155510655,27.349970539752,26.9722550159797,26.5397336770293,26.049123143167,25.5375775583352,25.1626265937558,25.035398013189,25.0074011729347,25.0015976720013,25.0004035736286,25.0001397644424,25.00009987082,25.0000466531088,25.0000459925231,25.0000096054562,25.0000096054562
9,25,53.7264016080522,31.239544026192,29.3710090392816,29.3016801483898,29.2792992050188,29.2531658710525,29.219263317644,29.1731505255594,29.1083636914192,29.0180645216802,28.89879347132,28.7515859823755,28.5781056004813,28.3778804661742,28.1483401556929,27.8855939974446,27.5848003241799,27.2403187151467,26.8455875074474,26.3939107650043,25.8876227402877,25.3948119210743,25.1014167500032,25.0216030506309,25.0045100963472,25.0009759888358,25.0002657643591,25.0000811391791,25.0000501257215,25.0000109289273,25.0000109289273
